"Id","Species"
"sample_1363","species3"
"sample_1364","species4"
"sample_1365","species5"
"sample_1366","species1"
"sample_1367","species2"
"sample_1368","species3"
"sample_1369","species4"
"sample_1370","species5"
"sample_1371","species1"
"sample_1372","species2"
"sample_1373","species3"
"sample_1374","species4"
"sample_1375","species5"
"sample_1376","species1"
"sample_1377","species2"
"sample_1378","species3"
"sample_1379","species4"
"sample_1380","species5"
"sample_1381","species1"
"sample_1382","species2"
"sample_1383","species3"
"sample_1384","species4"
"sample_1385","species5"
"sample_1386","species1"
"sample_1387","species2"
"sample_1388","species3"
"sample_1389","species4"
"sample_1390","species5"
"sample_1391","species1"
"sample_1392","species2"
"sample_1393","species3"
"sample_1394","species4"
"sample_1395","species5"
"sample_1396","species1"
"sample_1397","species2"
"sample_1398","species3"
"sample_1399","species4"
"sample_1400","species5"
"sample_1401","species1"
"sample_1402","species2"
"sample_1403","species3"
"sample_1404","species4"
"sample_1405","species5"
"sample_1406","species1"
"sample_1407","species2"
"sample_1408","species3"
"sample_1409","species4"
"sample_1410","species5"
"sample_1411","species1"
"sample_1412","species2"
"sample_1413","species3"
"sample_1414","species4"
"sample_1415","species5"
"sample_1416","species1"
"sample_1417","species2"
"sample_1418","species3"
"sample_1419","species4"
"sample_1420","species5"
"sample_1421","species1"
"sample_1422","species2"
"sample_1423","species3"
"sample_1424","species4"
"sample_1425","species5"
"sample_1426","species1"
"sample_1427","species2"
"sample_1428","species3"
"sample_1429","species4"
"sample_1430","species5"
"sample_1431","species1"
"sample_1432","species2"
"sample_1433","species3"
"sample_1434","species4"
"sample_1435","species5"
"sample_1436","species1"
"sample_1437","species2"
"sample_1438","species3"
"sample_1439","species4"
"sample_1440","species5"
"sample_1441","species1"
"sample_1442","species2"
"sample_1443","species3"
"sample_1444","species4"
"sample_1445","species5"
"sample_1446","species1"
"sample_1447","species2"
"sample_1448","species3"
"sample_1449","species4"
"sample_1450","species5"
"sample_1451","species1"
"sample_1452","species2"
"sample_1453","species3"
"sample_1454","species4"
"sample_1455","species5"
"sample_1456","species1"
"sample_1457","species2"
"sample_1458","species3"
"sample_1459","species4"
"sample_1460","species5"
"sample_1461","species1"
"sample_1462","species2"
"sample_1463","species3"
"sample_1464","species4"
"sample_1465","species5"
"sample_1466","species1"
"sample_1467","species2"
"sample_1468","species3"
"sample_1469","species4"
"sample_1470","species5"
"sample_1471","species1"
"sample_1472","species2"
"sample_1473","species3"
"sample_1474","species4"
"sample_1475","species5"
"sample_1476","species1"
"sample_1477","species2"
"sample_1478","species3"
"sample_1479","species4"
"sample_1480","species5"
"sample_1481","species1"
"sample_1482","species2"
"sample_1483","species3"
"sample_1484","species4"
"sample_1485","species5"
"sample_1486","species1"
"sample_1487","species2"
"sample_1488","species3"
"sample_1489","species4"
"sample_1490","species5"
"sample_1491","species1"
"sample_1492","species2"
"sample_1493","species3"
"sample_1494","species4"
"sample_1495","species5"
"sample_1496","species1"
"sample_1497","species2"
"sample_1498","species3"
"sample_1499","species4"
"sample_1500","species5"
"sample_1501","species1"
"sample_1502","species2"
"sample_1503","species3"
"sample_1504","species4"
"sample_1505","species5"
"sample_1506","species1"
"sample_1507","species2"
"sample_1508","species3"
"sample_1509","species4"
"sample_1510","species5"
"sample_1511","species1"
"sample_1512","species2"
"sample_1513","species3"
"sample_1514","species4"
"sample_1515","species5"
"sample_1516","species1"
"sample_1517","species2"
"sample_1518","species3"
"sample_1519","species4"
"sample_1520","species5"
"sample_1521","species1"
"sample_1522","species2"
"sample_1523","species3"
"sample_1524","species4"
"sample_1525","species5"
"sample_1526","species1"
"sample_1527","species2"
"sample_1528","species3"
"sample_1529","species4"
"sample_1530","species5"
"sample_1531","species1"
"sample_1532","species2"
"sample_1533","species3"
"sample_1534","species4"
"sample_1535","species5"
"sample_1536","species1"
"sample_1537","species2"
"sample_1538","species3"
"sample_1539","species4"
"sample_1540","species5"
"sample_1541","species1"
"sample_1542","species2"
"sample_1543","species3"
"sample_1544","species4"
"sample_1545","species5"
"sample_1546","species1"
"sample_1547","species2"
"sample_1548","species3"
"sample_1549","species4"
"sample_1550","species5"
"sample_1551","species1"
"sample_1552","species2"
"sample_1553","species3"
"sample_1554","species4"
"sample_1555","species5"
"sample_1556","species1"
"sample_1557","species2"
"sample_1558","species3"
"sample_1559","species4"
"sample_1560","species5"
"sample_1561","species1"
"sample_1562","species2"
"sample_1563","species3"
"sample_1564","species4"
"sample_1565","species5"
"sample_1566","species1"
"sample_1567","species2"
"sample_1568","species3"
"sample_1569","species4"
"sample_1570","species5"
"sample_1571","species1"
"sample_1572","species2"
"sample_1573","species3"
"sample_1574","species4"
"sample_1575","species5"
"sample_1576","species1"
"sample_1577","species2"
"sample_1578","species3"
"sample_1579","species4"
"sample_1580","species5"
"sample_1581","species1"
"sample_1582","species2"
"sample_1583","species3"
"sample_1584","species4"
"sample_1585","species5"
"sample_1586","species1"
"sample_1587","species2"
"sample_1588","species3"
"sample_1589","species4"
"sample_1590","species5"
"sample_1591","species1"
"sample_1592","species2"
"sample_1593","species3"
"sample_1594","species4"
"sample_1595","species5"
"sample_1596","species1"
"sample_1597","species2"
"sample_1598","species3"
"sample_1599","species4"
"sample_1600","species5"
"sample_1601","species1"
"sample_1602","species2"
"sample_1603","species3"
"sample_1604","species4"
"sample_1605","species5"
"sample_1606","species1"
"sample_1607","species2"
"sample_1608","species3"
"sample_1609","species4"
"sample_1610","species5"
"sample_1611","species1"
"sample_1612","species2"
"sample_1613","species3"
"sample_1614","species4"
"sample_1615","species5"
"sample_1616","species1"
"sample_1617","species2"
"sample_1618","species3"
"sample_1619","species4"
"sample_1620","species5"
"sample_1621","species1"
"sample_1622","species2"
"sample_1623","species3"
"sample_1624","species4"
"sample_1625","species5"
"sample_1626","species1"
"sample_1627","species2"
"sample_1628","species3"
"sample_1629","species4"
"sample_1630","species5"
"sample_1631","species1"
"sample_1632","species2"
"sample_1633","species3"
"sample_1634","species4"
"sample_1635","species5"
"sample_1636","species1"
"sample_1637","species2"
"sample_1638","species3"
"sample_1639","species4"
"sample_1640","species5"
"sample_1641","species1"
"sample_1642","species2"
"sample_1643","species3"
"sample_1644","species4"
"sample_1645","species5"
"sample_1646","species1"
"sample_1647","species2"
"sample_1648","species3"
"sample_1649","species4"
"sample_1650","species5"
"sample_1651","species1"
"sample_1652","species2"
"sample_1653","species3"
"sample_1654","species4"
"sample_1655","species5"
"sample_1656","species1"
"sample_1657","species2"
"sample_1658","species3"
"sample_1659","species4"
"sample_1660","species5"
"sample_1661","species1"
"sample_1662","species2"
"sample_1663","species3"
"sample_1664","species4"
"sample_1665","species5"
"sample_1666","species1"
"sample_1667","species2"
"sample_1668","species3"
"sample_1669","species4"
"sample_1670","species5"
"sample_1671","species1"
"sample_1672","species2"
"sample_1673","species3"
"sample_1674","species4"
"sample_1675","species5"
"sample_1676","species1"
"sample_1677","species2"
"sample_1678","species3"
"sample_1679","species4"
"sample_1680","species5"
"sample_1681","species1"
"sample_1682","species2"
"sample_1683","species3"
"sample_1684","species4"
"sample_1685","species5"
"sample_1686","species1"
"sample_1687","species2"
"sample_1688","species3"
"sample_1689","species4"
"sample_1690","species5"
"sample_1691","species1"
"sample_1692","species2"
"sample_1693","species3"
"sample_1694","species4"
"sample_1695","species5"
"sample_1696","species1"
"sample_1697","species2"
"sample_1698","species3"
"sample_1699","species4"
"sample_1700","species5"
"sample_1701","species1"
"sample_1702","species2"
"sample_1703","species3"
"sample_1704","species4"
"sample_1705","species5"
"sample_1706","species1"
"sample_1707","species2"
"sample_1708","species3"
"sample_1709","species4"
"sample_1710","species5"
"sample_1711","species1"
"sample_1712","species2"
"sample_1713","species3"
"sample_1714","species4"
"sample_1715","species5"
"sample_1716","species1"
"sample_1717","species2"
"sample_1718","species3"
"sample_1719","species4"
"sample_1720","species5"
"sample_1721","species1"
"sample_1722","species2"
"sample_1723","species3"
"sample_1724","species4"
"sample_1725","species5"
"sample_1726","species1"
"sample_1727","species2"
"sample_1728","species3"
"sample_1729","species4"
"sample_1730","species5"
"sample_1731","species1"
"sample_1732","species2"
"sample_1733","species3"
"sample_1734","species4"
"sample_1735","species5"
"sample_1736","species1"
"sample_1737","species2"
"sample_1738","species3"
"sample_1739","species4"
"sample_1740","species5"
"sample_1741","species1"
"sample_1742","species2"
"sample_1743","species3"
"sample_1744","species4"
"sample_1745","species5"
"sample_1746","species1"
"sample_1747","species2"
"sample_1748","species3"
"sample_1749","species4"
"sample_1750","species5"
"sample_1751","species1"
"sample_1752","species2"
"sample_1753","species3"
"sample_1754","species4"
"sample_1755","species5"
"sample_1756","species1"
"sample_1757","species2"
"sample_1758","species3"
"sample_1759","species4"
"sample_1760","species5"
"sample_1761","species1"
"sample_1762","species2"
"sample_1763","species3"
"sample_1764","species4"
"sample_1765","species5"
"sample_1766","species1"
"sample_1767","species2"
"sample_1768","species3"
"sample_1769","species4"
"sample_1770","species5"
"sample_1771","species1"
"sample_1772","species2"
"sample_1773","species3"
"sample_1774","species4"
"sample_1775","species5"
"sample_1776","species1"
"sample_1777","species2"
"sample_1778","species3"
"sample_1779","species4"
"sample_1780","species5"
"sample_1781","species1"
"sample_1782","species2"
"sample_1783","species3"
"sample_1784","species4"
"sample_1785","species5"
"sample_1786","species1"
"sample_1787","species2"
"sample_1788","species3"
"sample_1789","species4"
"sample_1790","species5"
"sample_1791","species1"
"sample_1792","species2"
"sample_1793","species3"
"sample_1794","species4"
"sample_1795","species5"
"sample_1796","species1"
"sample_1797","species2"
"sample_1798","species3"
"sample_1799","species4"
"sample_1800","species5"
"sample_1801","species1"
"sample_1802","species2"
"sample_1803","species3"
"sample_1804","species4"
"sample_1805","species5"
"sample_1806","species1"
"sample_1807","species2"
"sample_1808","species3"
"sample_1809","species4"
"sample_1810","species5"
"sample_1811","species1"
"sample_1812","species2"
"sample_1813","species3"
"sample_1814","species4"
"sample_1815","species5"
"sample_1816","species1"
"sample_1817","species2"
"sample_1818","species3"
"sample_1819","species4"
"sample_1820","species5"
"sample_1821","species1"
"sample_1822","species2"
"sample_1823","species3"
"sample_1824","species4"
"sample_1825","species5"
"sample_1826","species1"
"sample_1827","species2"
"sample_1828","species3"
"sample_1829","species4"
"sample_1830","species5"
"sample_1831","species1"
"sample_1832","species2"
"sample_1833","species3"
"sample_1834","species4"
"sample_1835","species5"
"sample_1836","species1"
"sample_1837","species2"
"sample_1838","species3"
"sample_1839","species4"
"sample_1840","species5"
"sample_1841","species1"
"sample_1842","species2"
"sample_1843","species3"
"sample_1844","species4"
"sample_1845","species5"
"sample_1846","species1"
"sample_1847","species2"
"sample_1848","species3"
"sample_1849","species4"
"sample_1850","species5"
"sample_1851","species1"
"sample_1852","species2"
"sample_1853","species3"
"sample_1854","species4"
"sample_1855","species5"
"sample_1856","species1"
"sample_1857","species2"
"sample_1858","species3"
"sample_1859","species4"
"sample_1860","species5"
"sample_1861","species1"
"sample_1862","species2"
"sample_1863","species3"
"sample_1864","species4"
"sample_1865","species5"
"sample_1866","species1"
"sample_1867","species2"
"sample_1868","species3"
"sample_1869","species4"
"sample_1870","species5"
"sample_1871","species1"
"sample_1872","species2"
"sample_1873","species3"
"sample_1874","species4"
"sample_1875","species5"
"sample_1876","species1"
"sample_1877","species2"
"sample_1878","species3"
"sample_1879","species4"
"sample_1880","species5"
"sample_1881","species1"
"sample_1882","species2"
"sample_1883","species3"
"sample_1884","species4"
"sample_1885","species5"
"sample_1886","species1"
"sample_1887","species2"
"sample_1888","species3"
"sample_1889","species4"
"sample_1890","species5"
"sample_1891","species1"
"sample_1892","species2"
"sample_1893","species3"
"sample_1894","species4"
"sample_1895","species5"
"sample_1896","species1"
"sample_1897","species2"
"sample_1898","species3"
"sample_1899","species4"
"sample_1900","species5"
"sample_1901","species1"
"sample_1902","species2"
"sample_1903","species3"
"sample_1904","species4"
"sample_1905","species5"
"sample_1906","species1"
"sample_1907","species2"
"sample_1908","species3"
"sample_1909","species4"
"sample_1910","species5"
"sample_1911","species1"
"sample_1912","species2"
"sample_1913","species3"
"sample_1914","species4"
"sample_1915","species5"
"sample_1916","species1"
"sample_1917","species2"
"sample_1918","species3"
"sample_1919","species4"
"sample_1920","species5"
"sample_1921","species1"
"sample_1922","species2"
"sample_1923","species3"
"sample_1924","species4"
"sample_1925","species5"
"sample_1926","species1"
"sample_1927","species2"
"sample_1928","species3"
"sample_1929","species4"
"sample_1930","species5"
"sample_1931","species1"
"sample_1932","species2"
"sample_1933","species3"
"sample_1934","species4"
"sample_1935","species5"
"sample_1936","species1"
"sample_1937","species2"
"sample_1938","species3"
"sample_1939","species4"
"sample_1940","species5"
"sample_1941","species1"
"sample_1942","species2"
"sample_1943","species3"
"sample_1944","species4"
"sample_1945","species5"
"sample_1946","species1"
"sample_1947","species2"
"sample_1948","species3"
"sample_1949","species4"
"sample_1950","species5"
"sample_1951","species1"
"sample_1952","species2"
"sample_1953","species3"
"sample_1954","species4"
"sample_1955","species5"
"sample_1956","species1"
"sample_1957","species2"
"sample_1958","species3"
"sample_1959","species4"
"sample_1960","species5"
"sample_1961","species1"
"sample_1962","species2"
"sample_1963","species3"
"sample_1964","species4"
"sample_1965","species5"
"sample_1966","species1"
"sample_1967","species2"
"sample_1968","species3"
"sample_1969","species4"
"sample_1970","species5"
"sample_1971","species1"
"sample_1972","species2"
"sample_1973","species3"
"sample_1974","species4"
"sample_1975","species5"
"sample_1976","species1"
"sample_1977","species2"
"sample_1978","species3"
"sample_1979","species4"
"sample_1980","species5"
"sample_1981","species1"
"sample_1982","species2"
"sample_1983","species3"
"sample_1984","species4"
"sample_1985","species5"
"sample_1986","species1"
"sample_1987","species2"
"sample_1988","species3"
"sample_1989","species4"
"sample_1990","species5"
"sample_1991","species1"
"sample_1992","species2"
"sample_1993","species3"
"sample_1994","species4"
"sample_1995","species5"
"sample_1996","species1"
"sample_1997","species2"
"sample_1998","species3"
"sample_1999","species4"
"sample_2000","species5"
"sample_2001","species1"
"sample_2002","species2"
"sample_2003","species3"
"sample_2004","species4"
"sample_2005","species5"
"sample_2006","species1"
"sample_2007","species2"
"sample_2008","species3"
"sample_2009","species4"
"sample_2010","species5"
"sample_2011","species1"
"sample_2012","species2"
"sample_2013","species3"
"sample_2014","species4"
"sample_2015","species5"
"sample_2016","species1"
"sample_2017","species2"
"sample_2018","species3"
"sample_2019","species4"
"sample_2020","species5"
"sample_2021","species1"
"sample_2022","species2"
"sample_2023","species3"
"sample_2024","species4"
"sample_2025","species5"
"sample_2026","species1"
"sample_2027","species2"
"sample_2028","species3"
"sample_2029","species4"
"sample_2030","species5"
"sample_2031","species1"
"sample_2032","species2"
"sample_2033","species3"
"sample_2034","species4"
"sample_2035","species5"
"sample_2036","species1"
"sample_2037","species2"
"sample_2038","species3"
"sample_2039","species4"
"sample_2040","species5"
"sample_2041","species1"
"sample_2042","species2"
"sample_2043","species3"
"sample_2044","species4"
"sample_2045","species5"
"sample_2046","species1"
"sample_2047","species2"
"sample_2048","species3"
"sample_2049","species4"
"sample_2050","species5"
"sample_2051","species1"
"sample_2052","species2"
"sample_2053","species3"
"sample_2054","species4"
"sample_2055","species5"
"sample_2056","species1"
"sample_2057","species2"
"sample_2058","species3"
"sample_2059","species4"
"sample_2060","species5"
"sample_2061","species1"
"sample_2062","species2"
"sample_2063","species3"
"sample_2064","species4"
"sample_2065","species5"
"sample_2066","species1"
"sample_2067","species2"
"sample_2068","species3"
"sample_2069","species4"
"sample_2070","species5"
"sample_2071","species1"
"sample_2072","species2"
"sample_2073","species3"
"sample_2074","species4"
"sample_2075","species5"
"sample_2076","species1"
"sample_2077","species2"
"sample_2078","species3"
"sample_2079","species4"
"sample_2080","species5"
"sample_2081","species1"
"sample_2082","species2"
"sample_2083","species3"
"sample_2084","species4"
"sample_2085","species5"
"sample_2086","species1"
"sample_2087","species2"
"sample_2088","species3"
"sample_2089","species4"
"sample_2090","species5"
"sample_2091","species1"
"sample_2092","species2"
"sample_2093","species3"
"sample_2094","species4"
"sample_2095","species5"
"sample_2096","species1"
"sample_2097","species2"
"sample_2098","species3"
"sample_2099","species4"
"sample_2100","species5"
"sample_2101","species1"
"sample_2102","species2"
"sample_2103","species3"
"sample_2104","species4"
"sample_2105","species5"
"sample_2106","species1"
"sample_2107","species2"
"sample_2108","species3"
"sample_2109","species4"
"sample_2110","species5"
"sample_2111","species1"
"sample_2112","species2"
"sample_2113","species3"
"sample_2114","species4"
"sample_2115","species5"
"sample_2116","species1"
"sample_2117","species2"
"sample_2118","species3"
"sample_2119","species4"
"sample_2120","species5"
"sample_2121","species1"
"sample_2122","species2"
"sample_2123","species3"
"sample_2124","species4"
"sample_2125","species5"
"sample_2126","species1"
"sample_2127","species2"
"sample_2128","species3"
"sample_2129","species4"
"sample_2130","species5"
"sample_2131","species1"
"sample_2132","species2"
"sample_2133","species3"
"sample_2134","species4"
"sample_2135","species5"
"sample_2136","species1"
"sample_2137","species2"
"sample_2138","species3"
"sample_2139","species4"
"sample_2140","species5"
"sample_2141","species1"
"sample_2142","species2"
"sample_2143","species3"
"sample_2144","species4"
"sample_2145","species5"
"sample_2146","species1"
"sample_2147","species2"
"sample_2148","species3"
"sample_2149","species4"
"sample_2150","species5"
"sample_2151","species1"
"sample_2152","species2"
"sample_2153","species3"
"sample_2154","species4"
"sample_2155","species5"
"sample_2156","species1"
"sample_2157","species2"
"sample_2158","species3"
"sample_2159","species4"
"sample_2160","species5"
"sample_2161","species1"
"sample_2162","species2"
"sample_2163","species3"
"sample_2164","species4"
"sample_2165","species5"
"sample_2166","species1"
"sample_2167","species2"
"sample_2168","species3"
"sample_2169","species4"
"sample_2170","species5"
"sample_2171","species1"
"sample_2172","species2"
"sample_2173","species3"
"sample_2174","species4"
"sample_2175","species5"
"sample_2176","species1"
"sample_2177","species2"
"sample_2178","species3"
"sample_2179","species4"
"sample_2180","species5"
"sample_2181","species1"
"sample_2182","species2"
"sample_2183","species3"
"sample_2184","species4"
"sample_2185","species5"
"sample_2186","species1"
"sample_2187","species2"
"sample_2188","species3"
"sample_2189","species4"
"sample_2190","species5"
"sample_2191","species1"
"sample_2192","species2"
"sample_2193","species3"
"sample_2194","species4"
"sample_2195","species5"
"sample_2196","species1"
"sample_2197","species2"
"sample_2198","species3"
"sample_2199","species4"
"sample_2200","species5"
"sample_2201","species1"
"sample_2202","species2"
"sample_2203","species3"
"sample_2204","species4"
"sample_2205","species5"
"sample_2206","species1"
"sample_2207","species2"
"sample_2208","species3"
"sample_2209","species4"
"sample_2210","species5"
"sample_2211","species1"
"sample_2212","species2"
"sample_2213","species3"
"sample_2214","species4"
"sample_2215","species5"
"sample_2216","species1"
"sample_2217","species2"
"sample_2218","species3"
"sample_2219","species4"
"sample_2220","species5"
"sample_2221","species1"
"sample_2222","species2"
"sample_2223","species3"
"sample_2224","species4"
"sample_2225","species5"
"sample_2226","species1"
"sample_2227","species2"
"sample_2228","species3"
"sample_2229","species4"
"sample_2230","species5"
"sample_2231","species1"
"sample_2232","species2"
"sample_2233","species3"
"sample_2234","species4"
"sample_2235","species5"
"sample_2236","species1"
"sample_2237","species2"
"sample_2238","species3"
"sample_2239","species4"
"sample_2240","species5"
"sample_2241","species1"
"sample_2242","species2"
"sample_2243","species3"
"sample_2244","species4"
"sample_2245","species5"
"sample_2246","species1"
"sample_2247","species2"
"sample_2248","species3"
"sample_2249","species4"
"sample_2250","species5"
