Id,Water_.g.,Energ_Kcal,Protein_.g.,Lipid_Tot_.g.,Ash_.g.,Carbohydrt_.g.,Fiber_TD_.g.,Sugar_Tot_.g.,Calcium_.mg.,Iron_.mg.,Magnesium_.mg.,Phosphorus_.mg.,Potassium_.mg.,Sodium_.mg.,Zinc_.mg.,Copper_.mg.,Manganese_.mg.,Selenium_.µg.,Vit_C_.mg.,Thiamin_.mg.,Riboflavin_.mg.,Niacin_.mg.,Panto_Acid_.mg.,Vit_B6_.mg.,Folate_Tot_.µg.,Folic_Acid_.µg.,Food_Folate_.µg.,Folate_DFE_.µg.,Choline_Tot_.mg.,Vit_B12_.µg.,Vit_A_IU,Vit_A_RAE,Retinol_.µg.,Alpha_Carot_.µg.,Beta_Carot_.µg.,Beta_Crypt_.µg.,Lycopene_.µg.,Lut.Zea_.µg.,Vit_E_.mg.,Vit_D_µg,Vit_D_IU,Vit_K_.µg.,FA_Sat_.g.,FA_Mono_.g.,FA_Poly_.g.,Cholestrl_.mg.
239,88.7,52,1.8,1.5,0.4,7.6,1.1,6.335,32,0.26,9,29,73,17,0.3,0.026,0.0752,2.8,0.800000000000001,0.024,0.04,0.298999999999999,0.217,0.018,3,0,3,2.99999999999999,5.81,0.12,994,50,0,77.3,315.5,25.9,308.85,50.3,0.3355,0.005,0.399999999999999,3.51,0.28895,0.2797,0.1232,2.8
240,88.22,52,2.27,1.24,0.33,7.94,0.9,1.66,18,0.29,8,34,91,19,0.4,0.03,0.13,3,0.199999999999999,0.022,0.04,0.648,0.177,0.052,3.99999999999999,0,4,4,6.8,0.02,1622,81,0,368,789,0,0,38,0.14,0,0,1.5,0.338,0.446,0.308,5
241,88.82,48,2.32,0.9,0.35,7.62,1.5,1.54,27,0.37,13,44,102,20,0.7,0.09,0.14,1.9,0.699999999999999,0.02,0.024,0.466,0.224,0.044,10,0,10,10,6.7,0.02,4396,220,0,998,2139,0,0,76,0.3,0,1,3.9,0.236,0.294,0.241,4
242,88.5,53,1.72,1.74,0.49,7.55,0.9,1.36,16,0.36,9,32,98,45,0.3,0.02,0.0599999999999999,1.9,0.4,0.022,0.032,0.539,0.162,0.052,7,0,7,7,9.4,0.01,4325,216,0,976,2107,0,0,174,0.31,0,0,4.8,0.485,0.687,0.391,4
243,85.25,67,3.14,2.11,0.55,8.95,0.7,1.27,66,0.21,8,86,67,119,0.4,0.02,0.09,3.8,0.0999999999999996,0.038,0.076,0.516,0.176,0.036,11,6,5,15,10.5,0.27,56,15,14,0,5,0,0,0,0.02,0,2,0.199999999999999,1.291,0.581,0.103,7
244,86.5,61,2.6,2,0.7,8.2,0.3,1.32,51,0.3,7,59,44,266,0.32,0.021,0.1007,3.8,1.3,0.056,0.064,0.545,0.14605,0.016,11,10,2,18,3.2,0.03,106,30,29,0,5,0,0,1,0.03,0,2,0.199999999999999,1.175,0.534,0.132,6
245,91.85,27,1.2,0.17,0.49,6.29,2.2,1.88,39,0.67,20,41,146,7,0.22,0.03,0.265,0.0999999999999979,0.300000000000001,0.026,0.079,0.361,0.041,0.038,24,0,24,24,22.6,0,355,18,0,15,197,17,0,526,0.0700000000000001,0,0,42.4,0.0390000000000001,0,0.116,0
246,92.5,24,1.2,0.0999999999999996,0.4,5.8,1.9,1.08,65,1.08,22,19,128,5,0.19,0.049,0.2278,0.299999999999999,8.4,0.021,0.102,0.321,0.151,0.035,33,0,33,33,22.6,0,433,24,0,0,292,0,0,493,0.32,0,0,11.1,0.0230000000000001,0.00399999999999956,0.052,0
247,92.6,29,1.2,0.199999999999999,0.4,5.7,1.3,1.06,27,0.4,19,22,116,37,0.1,0.03,0.08,0.4,1.7,0.02,0.04,0.23,0.051,0.03,32,0,32,32,22.6,0,481,24,0,0,288,0,0,487,0.31,0,0,11,0.044,0.00800000000000001,0.102,0
248,92.3,26,0.800000000000001,0.0999999999999996,0.8,6,1.7,3.64,22,0.37,9,20,196,69,0.15,0.041,0.2378,0.199999999999999,5.7,0.023,0.04,0.463,0.24,0.073,15,0,15,15,6.9,0,11461,573,0,2602,5575,0,0,0,0.52,0,0,14.4,0.0179999999999998,0.00399999999999956,0.0470000000000002,0
249,91,32,0.800000000000001,0.199999999999999,0.7,7.2,1.7,3.16,23,0.39,11,20,202,49,0.18,0.047,0.2378,0.199999999999999,5.5,0.024,0.041,0.497,0.278,0.08,17,0,17,17,8,0,11810,591,0,2682,5745,0,0,230,0.52,0,0,12.5,0.036,0.00900000000000034,0.093,0
250,92.66,28,0.809999999999999,0.199999999999999,0.6,5.73,0.9,3.37,24,0.32,14,21,185,5,0.19,0.03,0.083,0.199999999999999,0.300000000000001,0.029,0.048,0.683,0.212,0.07,8,0,8,8,7.6,0,1703,85,0,242,896,9,0,3527,0.55,0,0,4.7,0.0200000000000005,0.0199999999999996,0.04,0
251,92.66,24,0.809999999999999,0.199999999999999,0.6,5.73,0.9,3.24,24,0.32,14,21,185,5,0.19,0.03,0.083,0.199999999999999,0.300000000000001,0.029,0.048,0.683,0.212,0.07,8,0,8,8,7.6,0,1703,85,0,242,896,9,0,3527,0.55,0,0,4.7,0.0200000000000005,0.0199999999999996,0.04,0
252,87.3,50,2,0.6,0.84,9.26,2,2.93,32,0.4,26,35,352,5,0.3,0.1,0.12,0.6,4.9,0.06,0.06,0.56,0.314,0.11,23,0,23,23,12.5,0,2793,140,0,362,1476,38,0,970,0.0800000000000001,0,0,2.4,0.0950000000000002,0.166,0.28,0
253,87.5,51,0.199999999999998,0.0999999999999996,0.13,12.1,0.9,10.83,10,0.2,6,13,50,6,0.04,0.02,0.04,0.299999999999999,31.3,0.01,0.02,0.0800000000000001,0.039,0.05,1,0,1,0.999999999999993,3.4,0,31,2,0,0,14,10,0,19,0.23,0,0,0.6,0.0200000000000005,0.00399999999999956,0.0299999999999998,0
254,88.6,41,0.199999999999998,0.199999999999999,0.2,10.8,1.7,9.87,4,0.22,3,7,71,0,0.02,0.038,0.1194,0.299999999999999,38.3,0.012,0.028,0.0609999999999999,0.11,0.031,2,0,2,1.99999999999999,3.4,0,28,0.999999999999986,0,0,12,9,0,17,0.6,0,0,0.5,0.032,0.00800000000000001,0.056,0
255,83.1,60,0.300000000000001,0,0.3,16.3,1.5,1.41,9,0.3,4,10,121,0,0.0499999999999998,0.034,0.0648500000000001,0.299999999999999,21.6,0.00800000000000001,0.013,0.194999999999999,0.13,0.03,2,0,2,1.99999999999999,1.3,0,725,36,0,7,412,39,0,11,0.1,0,0,0.4,4.44089209850063e-16,0,0,0
256,83.6,57,1.4,0.4,0.5,14.1,2.1,1.23,20,0.28,8,33,90,43,0.19,0.034,0.0965,1.3,2.1,0.013,0.047,0.512,0.29,0.041,17,0,17,17,8.6,0.02,69,4.99999999999999,2,20,26,5,0,357,0.0400000000000003,0,0,0,0.0760000000000001,0.116,0.176,1
257,81.4,65,1.4,0.4,0.55,16.25,2.1,1.48,4,0.27,8,33,81,52,0.23,0.038,0.12295,1.3,2.2,0.013,0.048,0.504,0.327,0.041,20,0,20,20,8.6,0.02,34,2,0,10,13,3,0,423,0.0400000000000003,0,0,0,0.0739999999999994,0.116,0.178,1
258,87.52,50,3.27,0.43,0.42,8.36,2,2.01,18,0.95,17,50,106,5,0.47,0.061,0.218,0.0999999999999979,0.6,0.087,0.065,1.119,0.075,0.016,28,0,28,28,32.2,0,216,11,0,11,124,0,0,1465,0.02,0,0,15.5,0.0699999999999998,0.0499999999999998,0.2,0
259,84.6,64,3.9,0.800000000000001,0.35,10.3,3.9,4.13,21,1,19,67,81,48,0.5,0.08,0.15,0.0999999999999979,6,0.1,0.06,0.85,0.345,0.06,35,0,35,35,14.7,0,304,15,0,8,178,0,0,1805,0.45,0,0,18,0.140000000000001,0.0700000000000003,0.37,0
260,89.6,37,2.5,1.3,1,5.7,1.8,2.33,89,0.62,55,54,191,49,0.31,0.06,0.3195,2.4,8.7,0.015,0.104,0.216,0.20835,0.075,61,0,61,61,16.1,0.0600000000000001,4170,227,23,0,2456,0,0,4505,0.83,0,0,196.7,0.702,0.331999999999999,0.133,5
261,84,56,0.4,0.0999999999999996,0.3,15.3,1.6,0.380000000000001,5,0.2,10,7,88,0,0.0600000000000001,0.04,0.087,0.6,16.7,0.012,0.031,0.183,0.15,0.115,6,0,6,6,4.1,0,43,2,0,17,17,0,0,0,0.6,0,0,0,0.0350000000000001,0.00999999999999979,0.0190000000000001,0
262,88.4,42,0.300000000000001,0.199999999999999,0.3,10.8,2.8,6.98,8,0.24,8,12,130,1,0.0800000000000001,0.065,0.09205,0.4,24.5,0.013,0.028,0.189,0.09,0.00800000000000001,3.99999999999999,0,4,4,3.6,0,17,0.999999999999986,0,0,9,1,0,36,0.0900000000000001,0,0,3.2,0.0120000000000005,0.0419999999999998,0.0459999999999998,0
263,87.8,44,0.300000000000001,0.0999999999999996,0.2,11.6,2.8,7.34,8,0.25,9,12,115,1,0.0800000000000001,0.08,0.10235,0.4,22,0.014,0.03,0.188,0.095,0.01,3.99999999999999,0,4,4,2.3,0,18,0.999999999999986,0,0,10,1,0,38,0.6,0,0,3.4,0.00599999999999978,0.0209999999999999,0.0230000000000001,0
264,80,71,0.0999999999999996,0,0.24,19.7,1.2,13.34,6,0.2,4,6,85,0,0.0800000000000001,0.037,0.1307,0.4,1.1,0.00800000000000001,0.028,0.213,0.11,0.024,2,0,2,1.99999999999999,1.1,0,142,7,0,0,78,14,0,30,0.14,0,0,3.5,4.44089209850063e-16,0,0,0
265,79.2,74,0.0999999999999996,0,0.2,20.5,1.2,13.64,6,0.22,4,6,83,0,0.0800000000000001,0.038,0.1266,0.4,0.800000000000001,0.00600000000000001,0.03,0.206,0.114,0.029,1,0,1,0.999999999999993,1.1,0,94,4.99999999999999,0,0,52,10,0,29,0.6,0,0,3.4,4.44089209850063e-16,0,0,0
266,80.3,69,0.6,0.0999999999999996,0.5,18.5,2.7,10.97,15,0.35,10,15,177,5,0.0899999999999999,0.061,0.0953000000000001,0.5,0.800000000000001,0.022,0.075,0.525,0.14,0.081,0,0,1,0.999999999999993,1.1,0,453,23,0,33,228,54,0,39,0.6,0,0,15.6,0.00800000000000045,0.0659999999999998,0.0219999999999998,0
267,74.3,100,1,0.199999999999999,0.98,23.52,2.7,14.28,21,0.4,17,30,306,1,0.2,0.164,0.16995,0.800000000000001,1.3,0.02,0.21,0.72,0.1416,0.11,1,0,1,0.999999999999993,3.7,0,60,3,0,4,30,7,0,55,0.55,0,0,22.1,0.0200000000000005,0.13,0.04,0
268,80,70,0.300000000000001,0.199999999999999,0.33,19,1.1,13,8,0.2,6,4,66,4,0.0299999999999998,0.03,0.168,0.4,15.8,0.02,0.02,0.2,0.1,0.08,8,0,8,8,4.5,0,450,23,0,10,262,6,0,0,0.66,0,0,2.5,0.0390000000000001,0.0599999999999996,0.0299999999999998,0
269,85.6,57,0.300000000000001,0.0999999999999996,0.2,13.6,1.2,8.66,10,0.2,7,13,51,6,0.0899999999999999,0.04,0.03,0.4,31.3,0.01,0.02,0.129999999999999,0.09035,0.04,1,0,1,0.999999999999993,3.6,0,21,0.999999999999986,0,0,12,2,0,44,0.11,0,0,4,0.00999999999999979,0.0430000000000001,0.0459999999999998,0
270,87.7,44,0.199999999999998,0.199999999999999,0.26,11.64,1.8,9.25,6,0.25,4,9,120,0,0.04,0.041,0.0731499999999999,0.299999999999999,18.9,0.014,0.029,0.14,0.119,0.03,2,0,2,1.99999999999999,3.1,0,339,17,0,3,189,26,0,28,0.18,0,0,1,0.024,0.0369999999999999,0.0449999999999999,0
271,86.9,47,0.199999999999998,0.199999999999999,0.24,12.4,1.8,8.72,6,0.26,4,10,109,0,0.0299999999999998,0.044,0.0727,0.299999999999999,17.9,0.014,0.03,0.145,0.125,0.03,1,0,1,0.999999999999993,3.1,0,33,2,0,0,15,11,0,15,0.0400000000000003,0,0,0.5,0.028,0.0300000000000002,0.0510000000000002,0
272,85.63,51,-1.77635683940025e-15,0,0.25,14.1,1.1,10.81,1,0.3,4,8,132,1,0.0299999999999998,0.045,0.15365,0.299999999999999,42.8,0.01,0.03,0.14,0.131,0.037,0,0,0,0,4.6,0,45,2,0,0,25,4,0,56,0.12,0,0,2,4.44089209850063e-16,0,0,0
273,85.6,51,-1.77635683940025e-15,0,0.3,14.1,1.1,10.61,1,0.3,4,8,132,1,0.0299999999999998,0.046,0.14345,0.299999999999999,42.8,0.01,0.03,0.14,0.13,0.039,0,0,0,0,4.6,0,45,2,0,0,24,6,0,47,0.0600000000000001,0,0,1.2,4.44089209850063e-16,0,0,0
274,83.14,66,0.369999999999999,0.0999999999999996,0.26,16.16,1.6,4.35,5,0.24,9,12,131,3,0.0499999999999998,0.04,0.1,0.4,17.3,0.01,0.031,0.163,0.135,0.1,3,0,3,2.99999999999999,4.9,0,6,0,0,0,3,2,0,8,0.02,0,0,0.300000000000001,0.04,0.00999999999999979,0.0499999999999998,0
275,84,64,0.300000000000001,0.220000000000001,0.3,15.3,1.4,11.6,8,0.2,6,17,149,3,0.1,0.09,0.0599999999999999,0.299999999999999,6.4,0.01,0.02,0.1,0.103,0.05,2,0,2,1.99999999999999,4.4,0,2050,103,0,0,1225,9,0,13,0.16,0,0,0.800000000000001,0.0409999999999995,0.00800000000000001,0.0790000000000002,0
276,81.7,65,0.199999999999998,0,0.53,17.8,1.6,10.73,7,0.23,6,5,68,0,0.04,0.039,0.2455,0.6,19.2,0.019,0.019,0.168,0.143,0.082,18,0,18,18,6.9,0,60,3,0,12,30,0,0,11,0.0600000000000001,0,0,0.6,4.44089209850063e-16,0,0,0
277,88.5,41,0.300000000000001,0.0999999999999996,0.3,10.9,2.6,7.79,10,0.25,7,9,116,0,0.0699999999999998,0.14,0.0834,0.4,27.5,0.021,0.028,0.207,0.089,0.016,3,0,3,2.99999999999999,3.2,0,29,0.999999999999986,0,0,17,1,0,15,0.0400000000000003,0,0,1.6,0.00700000000000012,0.016,0.0289999999999999,0
278,82.5,63,0.199999999999998,0.0999999999999996,0.2,17,0.99,11.818,7,0.2,5,6,74,4,0.0600000000000001,0.03085,0.17225,0.4,80.9,0.01,0.022,0.263,0.0927,0.014,2,0,2,1.99999999999999,4.17,0,184,9,0,0.800000000000001,57.35,18.8,0,41.25,0.367,0,0,1.445,0.0201000000000002,0.0188499999999996,0.0542500000000001,0
279,87.4,51,0.5,0.199999999999999,0.2,11.8,0.8,9.49,6,0.2,8,17,83,9,0.12,0.03,0.05,0.4,31.3,0.01,0.02,0.469999999999999,0.17,0.04,5,0,5,5,8.5,0,138,7,0,0,69,28,0,103,0.83,0,0,2.9,0.0160000000000005,0.0460000000000003,0.0779999999999998,0
280,80.6,70,0.199999999999998,0.0999999999999996,0.2,18.9,1.4,10.233,7,0.44,5,5,79,5,0.0299999999999998,0.044,0.185,0.4,113.1,0.01,0.028,0.108,0.28,0.023,2,0,2,1.99999999999999,4.75,0,76,4.00000000000001,0,4.9,72.85,46.5,91.4,95,0.2785,0,0,4.105,0.0268499999999996,0.0233999999999996,0.0745499999999999,0
281,88,47,-1.77635683940025e-15,0.0999999999999996,0.2,11.7,0.1,10.7,4,0.57,3,5,91,8,0.0299999999999998,0.04,0.1441,0.0999999999999979,57.9,0.00700000000000001,0.016,0.0830000000000002,0.116,0.029,0,0,0,0,1.8,0,18,0.999999999999986,0,0,8,6,0,16,0.6,0,0,0,0.0179999999999998,0.00199999999999978,0.0310000000000001,0
282,87.1,51,0.199999999999998,0.0999999999999996,0.26,12.3,0.2,11,7,0.2,6,8,123,4,0.04,0.02,0.08,0.299999999999999,27.9,0.01,0.01,0.14,0.125,0.06,1,0,1,0.999999999999993,2.3,0,9,0,0,3,4,0,0,16,0.02,0,0,0,0.0179999999999998,0.00399999999999956,0.0339999999999998,0
283,89,43,0.199999999999998,0.0999999999999996,0.3,10.5,0.1,9.59,3,0.56,3,4,97,0,0.0299999999999998,0.037,0.1261,0.299999999999999,58.5,0.00800000000000001,0.011,0.213,0.082,0.022,1,0,1,0.999999999999993,2.5,0,63,3,0,0,31,13,0,29,0.15,0,0,0.5,0.0179999999999998,0.00199999999999978,0.0310000000000001,0
284,88.3,46,-1.77635683940025e-15,0.0199999999999996,0.19,11.49,0,6.88,6,0.22,3,7,97,5,0.0499999999999998,0.01,0.16,0.0999999999999979,27.9,0,0.02,0.0699999999999998,0.08875,0.03,0,0,0,0,3.4,0,28,0.999999999999986,0,0,17,0,0,49,0.56,0,0,2.4,0.00700000000000012,0.00100000000000033,0.012,0
285,81.3,72,0.199999999999998,0.0999999999999996,0.3,18.1,0.1,10.58,9,0.95,7,15,148,8,0.0499999999999998,0.062,0.15585,0.299999999999999,67.5,0.005,0.002,0.301,0.181,0.035,0,0,0,0,1.8,0,16,0.999999999999986,0,1,8,2,0,22,0.05,0,0,1.3,0.0179999999999998,0.00600000000000023,0.0310000000000001,0
286,88.5,45,0.6,0.300000000000001,0.4,10.2,0.1,8.26,12,0.17,9,11,184,0,0.0600000000000001,0.046,0.1556,0.0999999999999979,62.5,0.045,0.028,0.239,0.137,0.054,26,0,26,26,6.2,0,55,3,0,2,9,47,0,113,0.0400000000000003,0,0,0.0999999999999996,0.0350000000000001,0.0499999999999998,0.0600000000000001,0
287,88.9,43,0.4,0.199999999999999,0.4,10.1,1.09,7.143,10,0.2,5,7,138,3,0.0299999999999998,0.04,0.17355,0.0999999999999979,76.9,0.038,0.028,0.185,0.12,0.038,12,0,12,12,5.38999999999999,0,73,4.00000000000001,0,10.4,73.3,28.65,355.95,106.9,0.2145,0,0,2.015,0.0297999999999998,0.0202999999999998,0.0567500000000001,0
288,87.6,47,0.4,0.0999999999999996,0.4,11.5,0.1,10.03,5,0.35,6,8,134,0,0.0299999999999998,0.044,0.16645,0.0999999999999979,32.1,0.043,0.027,0.263,0.134,0.062,10,0,10,10,4.1,0,27,0.999999999999986,0,1,5,22,0,59,0.02,0,0,0.0999999999999996,0.0160000000000005,0.00699999999999967,0.0270000000000001,0
289,87.8,46,0.800000000000001,0.0999999999999996,0.4,10.9,0.1,7.2385,6,0.38,7,12,199,6,0.04,0.084,0.16325,0.0999999999999979,85.9,0.058,0.028,0.267,0.096,0.056,20,0,20,20,5.87,0,216,11,0,10.3,83.4,52.65,447.35,103.6,0.6,0,0,2.04,0.0110000000000001,0.0220000000000002,0.02,0
290,86.9,50,0.700000000000001,0.0999999999999996,0.4,11.9,1.42,8.4485,17,0.11,14,13,200,3,0.0899999999999999,0.042,0.15905,0.0999999999999979,34,0.051,0.042,0.18,0.148,0.054,24,0,24,24,7.005,0,46,2,0,9.95,39.35,73.95,0.0499999999999829,60.2,0.6445,0,0,1.145,0.028,0.0240999999999998,0.0568999999999997,0
291,87.3,48,0.5,0.0999999999999996,0.4,11.7,0.1,8.193,8,0.42,9,9,141,2,0.04,0.044,0.12205,0.0999999999999979,53.4,0.05,0.023,0.194,0.0590000000000001,0.062,19,0,19,19,5.8,0,31,2,0,9.4,25.65,60.5,0,43.3,0.6,0,0,0.325000000000001,0.00999999999999979,0.0140000000000002,0.024,0
292,81.9,70,0.6,0.300000000000001,0.4,16.8,1.645,9.231,12,0.87,8,10,181,2,0.04,0.046,0.18945,0.0999999999999979,63.8,0.044,0.12,0.396,0.137,0.061,13,0,13,13,5.98999999999999,0,131,7,0,10.6,60.05,53.2,0,60.85,0.766,0,0,1.71,0.0314499999999995,0.0283499999999997,0.0604,0
293,87.9,47,0.0999999999999996,0.0999999999999996,0.2,11.7,0.1,8.46,8,0.34,5,5,101,8,0.0299999999999998,0.04,0.1355,0.5,63.6,0.023,0.014,0.123,0.115,0.043,7,0,7,7,3.5,0,42,2,0,11,19,1,0,21,0.0400000000000003,0,0,0.9,0.0150000000000001,0.00600000000000023,0.0390000000000001,0
294,6.8,376,13.2,6.6,4,69.4,6.6,13.2,643,48.21,115,333,467,33,3.13,0.467,4.4329,30.2,0,0.892,1.07,14.28,4.92,0.714,179,156,23,287,45.4,3.57,0,0,0,0,0,0,0,170,5,7.1,286,2.3,0.894,1.45,3.859,0
295,1.7,402,6.6,4.8,3.7,83.2,6.7,26.66,600,45,140,200,500,66,2.6,0.62,2.52,64.7,58.3,0.33,1,13.33,0.953,0.66,166,142,24,265,42.1,3.33,0,0,0,0,0,0,0,203,50,0,0,8.3,0.639,1.277,1.866,0
296,6.7,399,6.66,6.66,1.77,78.21,6.7,26.66,800,30,100,333,467,33,10.66,0.334,1.69665,25.9,58.3,1.166,1.333,15,1.074,1.166,167,132,35,259,23.2,5,0,0,0,0,0,0,0,148,4.21,0,0,1.5,0.769,1.206,1.697,0
297,4.5,391,10.7,4.6,3.1,77.1,7.8,6.68,696,47.5,90,367,668,0,1.4,0.256,1.49305,20,3.6,3.78,3.56,20.56,0.73985,0.408,17,0,17,17,28.6,0.24,125,6,0,49,51,0,0,96,0.51,0,0,3.5,0.846,1.223,1.734,0
298,79.6,84,0.710000000000001,0.51,0.4,18.79,1,11.1,91,6.81,7,29,111,5,1.01,0.055,0.123,2.6,15.9,0.126,0.156,2.02,0.195,0.101,25,25,0,43,3.5,0.51,0,0,0,0,0,0,0,10,0.68,0,0,0.300000000000001,0.0720000000000001,0.108,0.152,0
299,4.56,394,10.99,6.36,4.6,73.48,7.3,11.67,1160,64.1,110,506,549,21,12.68,0.419,3.894,23.4,0,1.431,1.586,21.348,1.871,0.853,247,212,35,396,27,4.6,16,0,0,0,0,0,0,185,12.23,12.7,510,1.4,0.841,1.564,1.748,0
300,4.7,399,6.67,6.67,3.9,78.07,5.2,26.66,800,45,118,267,600,33,1.9,0.391,3.413,20.5,58.3,0.833,1,13,0.66825,0.66,167,132,35,259,28.7,3.33,0,0,0,0,0,0,0,157,5,0,0,3,1.267,1.429,2.186,0
301,82.2,75,0.890000000000001,0.890000000000001,0.4,15.62,0.9,8.85,6,7.5,11,41,97,4,7.5,0.073,0.17745,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0,0,0,0,0,0,0,0,90,0.59,0,0,2.2,0.125,0.216,0.253,0
302,81.8,76,0.890000000000001,0.890000000000001,0.4,16.03,0.9,8.85,6,7.5,11,41,97,4,7.5,0.075,0.17745,3,13.9,0.111,0.133,1.77,0.227,0.089,22,22,0,38,4.1,0.44,0,0,0,0,0,0,0,17,0.59,0,0,0.6,0.126,0.216,0.253,0
303,5.8,391,13.5,7,4.4,69.3,8.35,19.4495,1154,67.23,146,733,259,47,3.7,0.529,2.7191,36.4,0,2.771,2.842,36.292,1.54,0.154,35,0,35,35,26.825,0,23,0.999999999999986,0,5.6,67.35,0.85,0,203.15,5.8615,2.26,90.7,34.59,1.10815,1.6323,1.4325,0.200000000000003
304,81,80,1.2,0.4,0.3,17.1,1,2.24,17,6.73,3,12,28,4,0.0800000000000001,0.051,0.1592,2.1,31.6,0.26,0.422,4.017,0.3258,0.234,3,0,3,2.99999999999999,1.9,0,21,0.999999999999986,0,0,9,7,0,4,0.0400000000000003,0,0,0.199999999999999,0.114,0.104000000000001,0.102,0
305,87.2,58,2.2,1.5,0.6,8,0.18,6.128,27,0.54,3,46,44,38,0.33,0.025,0.0251,1.635,0.800000000000001,0.01,0.05,0.056,1.003,0.024,8.99999999999999,0,9,9,13.31,0.0800000000000001,161,49.5,49.1,0.850000000000001,3.90000000000001,0.0999999999999996,0,3.05000000000001,0.76,0.765,30.55,4.875,0.49,0.61,0.33,51
306,85.9,79,2.5,5,0.4,6.2,0.9,6.7875,28,0.47,5,50,35,48,0.27,0.02,0.0101,1.865,0.9,0.05,0.077,0.266,1.105,0.026,3.99999999999999,0,4,4,14.085,0.0900000000000001,94,28,28,0.0500000000000007,1.30000000000001,0.0499999999999989,0,4.84999999999999,0.797,0.895,35.55,5.125,1.64,2.207,0.641,94
307,5.4,402,10.5,7.05,2.95,74.1,7.8,11.09,286,14.3,107,429,346,0,5.7,0.34,2.8,20.5,2.7,0.75,0.86,9.6,0.66365,0.38,234,199,35,374,31.6,0,89,4.00000000000001,0,12,41,13,0,32,2.48,0,0,7.5,1.572,3.008,2.29,0
308,2,477,8.4,19.6,3.15,66.85,4,13,41,4.2,37,198,245,571,0.9,0.13,0.77,13.7,50.5,0.35,0.33,4.05,0.466,0.12,86,70,16,135,10.4,0,3571,179,0,739,1760,27,0,65,8.05,0,0,7.1,1.966,15.779,1.022,0
309,5.3,374,25.4,6.5,5.2,57.6,7.1,19.993,751,47.5,159,539,1330,104,2.7,0.964,1.91005,28.3,3.1,3.79,4.33,23.83,0.84035,0.351,190,0,190,190,30.505,0.3,54,3,0,8.65,88.1,0.699999999999999,0,288.8,6.557,2.62,105.3,71.965,0.96,1.231,3.429,0
310,4.7,404,8.7,4.2,2.5,79.9,1,16.7,691,47.5,141,410,769,0,1.5,0.254,1.3439,11.6,2,3.97,3.8,23.32,0.60565,0.686,12,0,12,12,25.8,0,29,0.999999999999986,0,11,12,0,0,39,0.37,0,0,3.8,0.978,0.986,1.503,0
311,5.6,424,7.6,10,1.4,75.4,0.2,29.609,32,3,22,116,156,319,0.53,0.074,0.57885,17.2,5.5,0.499,0.429,5.739,0.531,0.04,35,25,10,53,14.62,0.0700000000000001,0,0,2.95,0.0500000000000007,0.699999999999989,1.15,0,0,3.86,0,0,0.5,1.048,7.922,0.591,0
312,4,397,10.8,2,1,82.2,2.3,3.08,25,3.77,28,110,137,269,0.78,0.145,0.6113,7.6,3.8,0.463,0.357,3.56,0.54,0.083,85,65,20,131,0,0,8,0,0,1,4,1,0,72,0.28,0,0,0.300000000000001,0.4,0.238,1.054,0
313,6.4,392,10.7,4.2,2.3,76.4,1.4,12.65,263,3.55,35,164,323,285,0.93,0.142,0.8619,23.5,9.1,0.233,0.537,4.33,0.526,0.111,49,29,20,69,33.8,0.0700000000000001,116,28,27,6,13,0,0,169,1.1,0.5,21,0.5,1.206,1.702,0.998,7
314,4.5,426,10.1,9.7,1.5,74.2,2.5,12.5,20,0.6,14,55,305,227,0.54,0.145,0.64795,28.7,5.3,0.208,0.239,1.319,0.537,0.082,87,67,20,134,10.7,0,58,16,15,0,4,1,0,16,2.44,0,0,0.9,2.525,4.244,2.073,8
315,79.5,75,0.199999999999998,0.4,0.16,19.74,1.4,17.89,5,0.2,2,3,33,0,0.00999999999999979,0.059,0.19555,0.199999999999999,21.4,0.011,0.013,0.048,0.06655,0.011,1,0,1,0.999999999999993,2.5,0,49,2,0,0,21,16,0,15,0.0400000000000003,0,0,0.5,0.19,0.0800000000000001,0.00999999999999979,0
316,80.32,79,0.199999999999998,0.16,0.14,19.18,1.4,17.89,3,0.11,4,7,67,3,0.0299999999999998,0.03,0.02,0.199999999999999,18,0.01,0.012,0.048,0.017,0.017,0,0,0,0,2.5,0,18,0.999999999999986,0,0,8,6,0,11,0.0400000000000003,0,0,0.5,0.0249999999999995,0.00600000000000023,0.0449999999999999,0
317,79.8,80,1.1,0.9,0.6,17.7,0.6,16.2155,32,0.1,5,28,86,20,0.17,0.05,0.223,0.6,9.1,0.04,0.057,0.119,0.251,0.027,8,0,8,8,5.09999999999999,0.01,115,6,0,6.65,70.2,39.5,0,43.85,0.1605,0.025,0.949999999999999,1.695,0.545,0.257,0.0379999999999998,3
318,81.2,67,0.300000000000001,0,0.24,18.3,0.7,11.89,4,0.1,2,6,56,0,0.0299999999999998,0.196,0.132,1,20.5,0.01,0.015,0.259,0.05585,0.00700000000000001,3,1,2,4,1.1,0,138,7,0,0,68,28,0,39,0.31,0,0,1.1,4.44089209850063e-16,0,0,0
319,77.6,81,1.3,0.300000000000001,0.5,20.3,0.7,10.28,31,0.18,9,31,81,0,0.2,0.023,0.28655,1.2,27.2,0.038,0.046,0.107,0.192,0.04,5,0,5,5,5.4,0.0600000000000001,37,11,11,0,0,0,0,0,0,0,0,0,0.0990000000000002,0.109,0.0409999999999999,0
