"Id","sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH"
928,0.39,126,12,0.9924,0.35,7.6,0.33,0.036,12,6.3,3.16
929,0.47,169,35,0.99975,0.32,8.7,0.23,0.044,8.8,13.4,3.12
930,0.54,101,33,0.99315,0.35,6.9,0.19,0.036,10.8,1.7,3.21
931,0.5,118,29,0.9917,0.29,7.3,0.21,0.034,11,1.6,3.3
932,0.4,153,62,0.99845,0.37,6.6,0.22,0.035,9.3,15.4,3.02
933,0.39,73,17,0.9921,0.27,9.2,0.34,0.026,10.8,1.2,3.08
934,0.54,101,33,0.99315,0.35,6.9,0.19,0.036,10.8,1.7,3.21
935,0.95,117,40,0.9934,0.36,6.9,0.18,0.036,9.5,1.3,3.27
936,0.54,166,58,0.99855,0.49,8.2,0.38,0.042,9.4,13.6,3.1
937,0.63,103,38,0.99255,0.35,8.1,0.27,0.03,10.4,1.7,3.22
938,0.95,117,40,0.9934,0.36,6.9,0.18,0.036,9.5,1.3,3.27
939,0.82,173,49,0.9994,0.42,7.3,0.28,0.04,9,14.4,3.28
940,0.34,125,24,0.9915,0.21,6.3,0.26,0.03,10.7,4,3.06
941,0.28,33,5,0.9939,0.47,10.3,0.17,0.037,9.6,1.4,2.89
942,0.39,64,10,0.9932,0.29,7.7,0.15,0.029,10.1,1.3,3.35
943,0.57,141,28,0.993,0.32,7.1,0.21,0.037,10,2.2,3.2
944,0.36,119,57,0.9898,0.34,6.9,0.36,0.018,12.7,4.2,3.28
945,0.37,110,37,0.9932,0.54,6.2,0.16,0.126,8.9,1.4,3.23
946,0.82,111,18,0.9919,0.36,6.9,0.12,0.037,11.9,2.2,3.41
947,0.57,141,28,0.993,0.32,7.1,0.21,0.037,10,2.2,3.2
948,0.48,121,9,0.9953,0.44,8.8,0.36,0.04,9.9,1.9,3.19
949,0.51,173,39,0.9918,0.31,7.3,0.26,0.04,11.4,1.6,3.19
950,0.68,90,34,0.99185,0.32,6.5,0.3,0.044,11,2,3.37
951,0.63,166,43,0.994,0,5,0.31,0.046,9.9,6.4,3.3
952,0.4,114,40,0.9908,0.18,5.8,0.26,0.031,11,1.2,3.42
953,0.36,128,33,0.9896,0.29,7,0.31,0.037,12.2,1.4,3.12
954,0.4,114,40,0.9908,0.18,5.8,0.26,0.031,11,1.2,3.42
955,0.53,242,52,0.9952,0.28,6.8,0.18,0.047,10.5,8.5,3.22
956,0.56,145,30,0.9947,0.38,6.6,0.2,0.052,11,7.9,3.32
957,0.39,206,60,0.995,0.3,5.9,0.31,0.047,9.6,7.7,3.2
958,0.47,159,49,0.9944,0.28,6.9,0.21,0.056,8.8,2.4,3.02
959,0.61,72,8,0.9944,0.45,8.3,0.27,0.048,10.3,1.3,3.08
960,0.43,124,30,0.9908,0.39,7.1,0.25,0.036,12.2,2.1,3.28
961,0.47,159,23,0.99795,0.37,8,0.23,0.054,9.8,9.6,3.32
962,0.63,144,24,0.99425,0.2,6.3,0.33,0.04,9.9,5.8,3.15
963,0.63,143,22,0.99425,0.19,6.2,0.33,0.042,9.9,5.6,3.15
964,0.63,145,22,0.9943,0.19,6.3,0.34,0.041,9.9,5.8,3.15
965,0.35,30,11,0.9924,0.05,5.8,0.29,0.038,9.2,0.8,3.36
966,0.37,88,11.5,0.9946,0.26,8,0.32,0.05,9.5,1.2,3.24
967,0.32,107,20,0.9923,0.4,8.6,0.18,0.04,10.2,1.1,2.94
968,0.44,144,59,0.9956,0.32,7,0.11,0.057,9.4,4.6,3.55
969,0.44,153,56,0.9978,0.62,7.7,0.32,0.036,8.9,10.6,3.13
970,0.43,215,69,0.9967,0.27,6.5,0.26,0.044,10,12.9,3.17
971,0.43,100,13,0.9936,0.23,6.3,0.27,0.047,9.8,2.9,3.28
972,0.47,179,47,0.998,0.35,6.5,0.25,0.055,10,12,3.58
973,0.38,230,64,0.9974,0.43,6.4,0.26,0.033,8.9,12.6,3.08
974,0.38,233,64,0.99745,0.43,6.2,0.28,0.039,8.9,13,3.08
975,0.55,244,56,0.9956,0.29,6.2,0.35,0.044,10,7.3,3.36
976,0.6,197,40,0.99485,0.28,6.2,0.34,0.034,9.7,7.5,3.14
977,0.44,105,28,0.9946,0.29,6.7,0.15,0.058,10.2,5,3.52
978,0.36,147,24,0.9935,0.35,8.5,0.16,0.039,10,1.6,2.96
979,0.52,57,10,0.996,0.25,6.8,0.705,0.048,9.5,3.2,3.36
980,0.38,134,15,0.9936,0.26,7.6,0.345,0.043,9.5,1.9,3.08
981,0.49,143,26,0.9965,0.34,7.6,0.22,0.035,9.8,9.7,3.08
982,0.36,117,39,0.9928,0.37,8.2,0.23,0.042,10,1.3,2.99
983,0.54,78,25,0.9926,0.32,6.6,0.2,0.039,10.2,1.1,3.39
984,0.42,174,38,0.9983,0.34,7.3,0.24,0.05,9,15.4,3.03
985,0.42,174,38,0.9983,0.34,7.3,0.24,0.05,9,15.4,3.03
986,0.42,153,38,0.9994,0.35,6.8,0.22,0.039,9,17.5,3.24
987,0.51,68,18,0.9906,0.09,5.5,0.42,0.019,11.4,1.6,3.33
988,0.36,102,25,0.9894,0.01,5.1,0.42,0.017,12.3,1.5,3.38
989,0.62,155,32,0.9951,0.33,7.7,0.28,0.037,10.7,6.7,3.39
990,0.45,77,21,0.9907,0.34,5.7,0.36,0.026,11.9,4.2,3.41
991,0.52,122,29,0.9928,0.21,6,0.41,0.05,10.5,1.9,3.42
992,0.62,69,7,0.9944,0.44,8.2,0.26,0.046,10.2,1.3,3.14
993,0.47,152,33,0.9966,0.27,6.1,0.24,0.062,9.5,9.8,3.31
994,0.5,184,43,0.9997,0.3,8,0.24,0.056,9.2,17.45,3.05
995,0.45,84,16,0.9936,0.36,8,0.19,0.05,9.8,1.8,3.15
996,0.48,136,18,0.9928,0.39,6.9,0.24,0.063,10.4,1.3,3.31
997,0.64,91,18,0.993,0.28,6.6,0.18,0.044,10.8,3.3,3.42
998,0.55,199,45,0.993,0.37,6.6,0.22,0.059,10.3,1.2,3.37
999,0.66,173,60,0.9932,0.41,7.7,0.16,0.048,11.2,1.7,3.24
1000,0.43,162,63,0.9994,0.27,6.1,0.16,0.064,8.9,12.6,3.66
1001,0.29,113,19,0.9926,0.22,7.6,0.39,0.036,10.2,2.8,3.03
1002,0.37,188,54,0.9935,0.32,6.8,0.19,0.019,11.1,7.05,3.25
1003,0.38,174,48,0.9962,0.38,7.6,0.19,0.06,10.5,10.6,3.13
1004,0.7,185,23,0.9928,0.74,6.8,0.34,0.088,12,2.8,3.51
1005,0.51,123,38,0.993,0.46,6.2,0.15,0.039,9.7,1.6,3.38
1006,0.59,128,51,0.9941,0.35,7,0.24,0.052,10.4,1.5,3.41
1007,0.74,227,33,0.9983,0.46,7.9,0.64,0.244,9.1,10.6,2.87
1008,0.67,148,39,0.9942,0.38,8.8,0.17,0.04,10.2,1.8,3.16
1009,0.74,102,13,0.9918,0.34,7.5,0.17,0.035,11,1.4,3.05
1010,0.71,138,17,0.995,0.3,8.2,0.68,0.047,10.8,2.1,3.22
1011,0.45,104,18,0.9952,0.32,7.3,0.49,0.043,10.7,5.2,3.24
1012,0.45,107,23,0.9937,0.1,6.5,0.19,0.046,10,1.3,3.29
1013,0.62,116,36,0.991,0.36,6.1,0.37,0.035,12.6,4.7,3.31
1014,0.39,123,52,0.9932,0.81,6.9,0.21,0.137,9.2,1.1,3.03
1015,0.43,61,5,0.9918,0.52,7,0.31,0.029,10.4,1.7,3.07
1016,0.44,111,29,0.9941,0.41,8.6,0.26,0.049,10,2.2,2.96
1017,0.47,111,26,0.9931,0.34,7.5,0.21,0.06,10.7,1.2,3.51
1018,0.47,111,26,0.9931,0.34,7.5,0.21,0.06,10.7,1.2,3.51
1019,0.68,216,35.5,0.9956,0.26,6.7,0.26,0.079,9.5,4,3.31
1020,0.67,202,36,0.9956,0.26,6.7,0.26,0.073,9.5,4.1,3.3
1021,0.7,159,48,0.9949,0.37,8.1,0.26,0.072,10.9,1.9,3.37
1022,0.5,126,32,1.0002,0.38,8.3,0.22,0.054,9.7,14.8,3.22
1023,0.45,172,62,0.9942,0.51,6.4,0.3,0.048,9.1,5.5,3.08
1024,0.49,125,33,0.9923,0.34,7.5,0.19,0.037,11.1,2.6,3.1
1025,0.4,87,9,0.9917,0.44,8.8,0.33,0.024,12.6,6.35,2.96
1026,0.56,147,38,0.9931,0.36,6.9,0.2,0.031,11,1.5,3.35
1027,0.5,126,32,1.0002,0.38,8.3,0.22,0.054,9.7,14.8,3.22
1028,0.4,118,28,0.9953,0.33,8.2,0.29,0.036,10.9,9.1,2.96
1029,0.47,192,25,0.9951,0.3,7.7,0.34,0.048,10.9,8,2.97
1030,0.54,124,28,0.9904,0.19,6.4,0.4,0.033,12.7,3.2,3.22
1031,0.59,180,42,0.9974,0.33,7.5,0.28,0.048,10.1,7.7,3.37
1032,0.65,132,43,0.9944,0.44,7.8,0.26,0.037,10,1.3,3.18
1033,0.42,197,56,1.0004,0.34,6.5,0.26,0.051,9.8,16.3,3.49
1034,0.38,155,52,0.995,0.25,6.3,0.27,0.038,9.4,5.8,3.28
1035,0.42,190,43,0.9995,0.37,7.4,0.2,0.048,9.2,16.95,3.03
1036,0.33,142,29,0.9942,0.21,6.3,0.23,0.035,10.1,5.1,3.36
1037,0.42,190,43,0.9995,0.37,7.4,0.2,0.048,9.2,16.95,3.03
1038,0.51,213,62,1.0006,0.58,8.3,0.21,0.049,9.3,17.1,3.01
1039,0.33,142,29,0.9942,0.21,6.3,0.23,0.035,10.1,5.1,3.36
1040,0.79,120,12,0.9894,0.21,5.8,0.29,0.025,14,2.6,3.39
1041,0.43,107,45,0.9908,0.42,6.3,0.17,0.028,11.8,2.8,3.27
1042,0.49,128,21,0.992,0.45,5.2,0.24,0.027,11.2,3.8,3.55
1043,0.46,151,18,0.9952,0.4,9.2,0.22,0.054,9.3,2.4,3.04
1044,0.59,87,27,0.9903,0.15,7.2,0.37,0.029,12.6,2,3.3
1045,0.61,96,15,0.9912,0.37,8,0.18,0.04,12.1,1.3,3.06
1046,0.64,216,33,0.9976,0.34,8.1,0.45,0.037,9.7,8.3,3.31
1047,0.33,138,26,0.9974,0.16,6.4,0.5,0.042,9,12.9,3.28
1048,0.46,182,33,0.9974,0.45,6.3,0.55,0.047,9.2,13,3.2
1049,0.25,166,73,0.989,0.29,6.5,0.115,0.038,12.9,1.95,3.12
1050,0.32,99,24,0.992,0.29,6.4,0.125,0.042,12,5.85,3.23
1051,0.46,100,21,0.9928,0.27,5.7,0.1,0.047,9.5,1.3,3.27
1052,0.32,117,33,0.9918,0.29,7.9,0.25,0.031,11.8,5.3,3.06
1053,0.54,162,28,0.9988,0.31,6.8,0.39,0.043,9.1,14.35,3.17
1054,0.43,114,27,0.994,0.42,8.7,0.22,0.053,10,2.3,2.99
1055,0.47,161,30,0.9986,0.34,6.7,0.25,0.048,9.5,12.85,3.44
1056,0.4,178,70,0.9914,0.42,6,0.26,0.027,12.3,5.2,3.4
1057,0.58,133,39,0.996,0.46,9.2,0.28,0.058,9.5,3.2,3.14
1058,0.46,57,17,0.9921,0.33,8.5,0.16,0.076,10.6,1,3.14
1059,0.61,146,30,0.998,0.49,9.3,0.34,0.052,10.2,7.3,3.17
1060,0.58,133,39,0.996,0.46,9.2,0.28,0.058,9.5,3.2,3.14
1061,0.41,151,15,0.9936,0.32,9.1,0.27,0.031,10.6,1.1,3.03
1062,0.4,219,69,0.9959,0.17,6.9,0.32,0.042,8.9,7.6,3.13
1063,0.41,223,71,0.9959,0.18,6.8,0.32,0.041,8.9,7.5,3.14
1064,0.38,79,24,0.9937,0,6.1,0.6,0.042,9.4,1.3,3.31
1065,0.38,189.5,73.5,0.9942,0.27,5.7,0.26,0.201,9.4,4.1,3.27
1066,0.38,135,23,0.9998,0.29,7.8,0.3,0.054,9,16.85,3.16
1067,0.8,153,50,0.9945,0.34,7.5,0.14,0.055,9.6,1.3,3.29
1068,0.38,189.5,73.5,0.9942,0.27,5.7,0.26,0.201,9.4,4.1,3.27
1069,0.38,73,15,0.9928,0.49,8.2,0.23,0.057,10.4,0.9,3.07
1070,0.41,129,34,0.9946,0.32,6,0.24,0.03,10.4,6.3,3.52
1071,0.32,82,13,0.9927,0.27,6.1,0.45,0.039,9.5,0.8,3.23
1072,0.62,113,22,0.9938,0.43,7.4,0.23,0.044,10.6,1.4,3.22
1073,0.37,74,21,0.9918,0.38,7.2,0.2,0.037,11,1,3.21
1074,0.5,115,20,0.9966,0.43,7.7,0.25,0.062,9.9,4.5,3.38
1075,0.55,101,31,0.9931,0.33,7.4,0.22,0.045,11.4,2,3.42
1076,0.5,214,49,0.9986,0.26,7.2,0.26,0.036,10,12.7,3.41
1077,0.5,198,29,0.9984,0.35,6.3,0.32,0.039,9.4,11.1,3.36
1078,0.36,109,31,0.9949,0.25,7.2,0.2,0.044,9.4,4.5,3.23
1079,0.34,118,15,0.9954,0.45,8.2,0.61,0.03,9.6,5.4,3.14
1080,0.55,101,31,0.9931,0.33,7.4,0.22,0.045,11.4,2,3.42
1081,0.51,225,65,0.9978,0.64,6.5,0.41,0.065,8.9,11.8,3.12
1082,0.4,104,40,0.9914,0.38,6.6,0.21,0.026,11.1,2.2,3.25
1083,0.6,216,36,0.9964,0.22,6.2,0.37,0.025,9.6,8.3,3.33
1084,0.42,107,29,0.998,0.32,7.1,0.26,0.074,9.2,14.45,2.96
1085,0.48,93,14,0.9939,0.37,7.4,0.25,0.02,10.7,6.9,3
1086,0.44,97,10,0.9917,0.16,5,0.33,0.049,10.7,1.5,3.48
1087,0.46,200,11,0.9954,0.32,8.9,0.33,0.047,9.4,1.5,3.19
1088,0.47,125,30,0.9907,0.46,8,0.23,0.03,12.5,1.5,3.23
1089,0.25,59,14,0.9922,0.41,9.2,0.28,0.042,10.5,1,2.96
1090,0.44,97,10,0.9917,0.16,5,0.33,0.049,10.7,1.5,3.48
1091,0.47,59,11,0.9926,0.45,9.7,0.24,0.033,10.8,1.2,2.74
1092,0.32,93,17,0.9906,0.36,8.2,0.37,0.034,11.7,1,3.04
1093,0.58,127,50,0.992,0.32,5.9,0.4,0.034,12.5,6,3.51
1094,0.42,110,20,0.9943,0.38,6.9,0.18,0.039,10.5,6.5,3.1
1095,0.28,109,25,0.9921,0.53,9.4,0.26,0.047,12.5,1.2,3.23
1096,0.44,131,29,0.9943,0.3,7.7,0.39,0.037,11,5.2,3.38
1097,0.48,195,46,0.993,0.31,7.8,0.32,0.036,10.5,1.7,3.03
1098,0.43,128,35,0.9896,0.37,7.1,0.44,0.041,13.5,2.7,3.07
1099,0.39,165,52,0.9911,0.41,7.3,0.25,0.037,12.2,1.8,3.29
1100,0.3,150,58,0.9936,0.73,7,0.16,0.138,9.2,1,3.08
1101,0.35,223,88,0.9948,0.27,6.4,0.17,0.036,10.2,6.7,3.28
1102,0.36,245,64,0.9951,0.38,6.2,0.21,0.036,9.3,6.8,3.06
1103,0.34,236,63,0.9952,0.3,6.4,0.23,0.037,9.2,7.1,3.06
1104,0.39,73,15,0.9938,0.35,7.2,0.14,0.036,9.9,1.2,3.46
1105,0.69,163,45,1.0003,0.42,8,0.22,0.044,8.6,14.6,3.21
1106,0.35,145,21,0.9966,0.29,7.6,0.31,0.04,9.4,10.5,3.04
1107,0.69,163,45,1.0003,0.42,8,0.22,0.044,8.6,14.6,3.21
1108,0.42,126,23,0.9938,0.47,8.1,0.5,0.037,10.9,1.1,3.21
1109,0.46,132,20,0.9938,0.27,6.2,0.22,0.064,9.2,1.5,3.22
1110,0.37,133,10,0.9942,0.36,7,0.24,0.083,10.8,4.9,3.33
1111,0.62,153,14,0.9928,0.3,6.6,0.27,0.025,10.5,1.9,3.29
1112,0.78,140,29,0.991,0.41,7.8,0.16,0.026,12.5,1.7,3.02
1113,0.25,151,50,0.9927,0.36,8,0.45,0.026,12.7,8.8,3.07
1114,0.44,147,40,0.9912,0.29,6.6,0.16,0.05,11.4,1.8,3.06
1115,0.6,110,35,0.9907,0.4,8.3,0.21,0.032,12.9,1.6,3.02
1116,0.51,109,29,0.9902,0.33,7.2,0.32,0.029,12.8,1.4,3.15
1117,0.42,98,16,0.994,0.33,8.4,0.16,0.033,9.7,1.5,3.14
1118,0.87,102,10,0.993,0.22,6.9,0.39,0.03,11.6,4.3,3
1119,0.86,102,10,0.993,0.22,6.9,0.41,0.031,11.6,4.2,3
1120,0.56,191,54,0.9966,0.32,7.5,0.23,0.038,9.7,9.2,3.04
1121,0.44,131,30,0.9942,0.33,7.5,0.38,0.045,10.9,5,3.32
1122,0.27,176,51,0.9939,0.4,6.9,0.2,0.032,11.4,7.7,3.22
1123,0.33,212,39,0.9958,0.42,7.4,0.19,0.067,9.6,6.4,3.3
1124,0.3,163,60,0.9952,0.36,8.2,0.2,0.035,10.3,8.1,3.05
1125,0.75,228,61,1,0.71,8,0.59,0.038,9.3,17.35,2.95
1126,0.49,114,17,0.9948,0.45,7.9,0.14,0.05,10.7,1.8,3.33
1127,0.62,142,23,0.9958,0.59,9.7,0.14,0.049,9.5,1.5,2.98
1128,0.45,130,22,0.9948,0.68,9.2,0.15,0.046,10.4,1.6,3.02
1129,0.46,169,46,0.9953,0.4,6.4,0.31,0.04,9.3,6.2,3.15
1130,0.62,177,21,0.9927,0.34,7,0.15,0.039,10.8,1.4,3.32
1131,0.51,96,25,0.9932,0.31,6.4,0.15,0.044,10.3,1.1,3.54
1132,0.42,234,59,0.9955,0.53,6.4,0.25,0.038,8.8,6.6,3.03
1133,0.74,114,6,0.9914,0.42,7.6,0.19,0.044,12.8,1.5,3.04
1134,0.56,152,28,0.992,0.3,5.1,0.31,0.037,10.1,0.9,3.54
1135,0.62,182,21,0.9927,0.35,6.9,0.16,0.043,10.8,1.3,3.25
1136,0.52,114,28,0.9911,0.48,7.7,0.32,0.04,12.8,2.3,3.2
1137,0.38,81,13,0.9902,0.33,5.2,0.37,0.028,11.7,1.2,3.37
1138,0.45,108,24,0.994,0.41,8.3,0.21,0.05,9.5,2.2,2.85
1139,0.4,110,24,0.9972,0.32,6.8,0.15,0.058,8.8,8.8,3.4
1140,0.51,210,69,1.0004,0.64,7.9,0.16,0.05,9.3,17,3.15
1141,0.75,180,62,0.991,0.39,7.8,0.21,0.034,12.6,1.8,3.09
1142,0.72,189,60,0.995,0.24,5.7,0.21,0.047,10.1,2.3,3.65
1143,0.37,161,38,0.9941,0.36,7.8,0.29,0.042,11.2,7,3.26
1144,0.52,251,40,0.9956,0.3,6.7,0.18,0.048,10,6.4,3.29
1145,0.39,116,37,0.9959,0.27,8.4,0.58,0.033,10.8,12.15,2.99
1146,0.33,121,50,0.9922,0.32,7.2,0.16,0.04,10,0.8,3.27
1147,0.39,130,40,0.9906,0.33,6.5,0.37,0.027,12.7,3.9,3.28
1148,0.52,251,40,0.9956,0.3,6.7,0.18,0.048,10,6.4,3.29
1149,0.41,179,43,0.9955,0.3,7.8,0.13,0.04,9,1.8,3.43
1150,0.59,191,55,1,0.41,7.3,0.22,0.05,8.9,15.4,3.32
1151,0.37,158,56,0.9951,0.26,6.2,0.12,0.044,10.5,5.7,3.52
1152,0.48,115,42,0.9906,0.33,6.4,0.25,0.04,11.3,1.4,3.19
1153,0.42,143,38,0.9907,0.41,7.6,0.19,0.04,11.4,1.1,2.92
1154,0.49,185,42,0.9984,0.47,7.4,0.64,0.168,9.3,14.15,2.9
1155,0.38,162,41,0.9944,0.41,8.3,0.26,0.042,12,9.2,3.1
1156,0.71,136,10,0.993,0.41,6.9,0.28,0.05,11.4,1.7,3.16
1157,0.61,98,24,0.992,0.3,5.7,0.43,0.039,12.3,5.7,3.54
1158,0.33,102,25,0.9923,0.56,7.1,0.36,0.046,10.5,1.3,3.24
1159,0.7,133,5,0.993,0.4,6.8,0.23,0.047,11.4,1.6,3.23
1160,0.9,116,17,0.9907,0.13,5.6,0.49,0.039,13.7,4.5,3.42
1161,0.34,180,73,0.9926,0.4,8.1,0.19,0.037,10,0.9,3.06
1162,0.42,123,33,0.995,0.26,5.9,0.19,0.034,10.1,7.4,3.49
1163,0.42,101,19,0.9946,0.3,5.7,0.135,0.042,9.3,4.6,3.31
1164,0.46,98,27,0.9898,0.33,6.9,0.19,0.039,12.3,1.6,3.09
1165,0.46,200,35,0.9986,0.36,7.3,0.25,0.05,8.9,13.1,3.04
1166,0.46,200,35,0.9986,0.36,7.3,0.25,0.05,8.9,13.1,3.04
1167,0.46,200,35,0.9986,0.36,7.3,0.25,0.05,8.9,13.1,3.04
1168,0.4,97,39,0.9934,0.32,7.1,0.26,0.037,11.6,5.9,3.31
1169,0.46,83,32,0.9928,0.34,7,0.2,0.035,11.5,5.7,3.19
1170,0.79,155,26,0.9925,0.33,6.9,0.3,0.035,12.3,4.1,3.25
1171,0.41,124,22,0.9944,0.49,8.1,0.29,0.042,10.8,7.1,3.14
1172,0.6,128,16,0.9934,0.26,6.6,0.23,0.045,10,1.3,3.36
1173,0.63,366.5,35.5,1.0001,0.35,8.6,0.55,0.057,11,15.55,3.04
1174,0.55,132,18,0.992,0.74,6.9,0.35,0.044,10.2,1,3.13
1175,0.34,137,29,0.998,0.49,9.2,0.28,0.042,10.1,11.8,3.1
1176,0.37,90,17,0.9919,0.49,6.2,0.18,0.047,11.6,4.5,3.27
1177,0.43,225,36,0.9977,0.74,9.8,0.25,0.056,10,10,3.06
1178,0.35,128,26,0.991,0.49,6.8,0.22,0.052,11.4,0.9,3.25
1179,0.46,87,18,0.9928,0.49,6.1,0.22,0.051,9.6,1.5,3.3
1180,0.5,94,19,0.9982,0.24,6.9,0.23,0.053,9.6,14.2,3.17
1181,0.44,162,56,0.998,0.74,7.2,0.26,0.05,8.8,13.6,3.03
1182,0.34,117,27,0.9938,0.49,8,0.25,0.061,9.4,1.2,3.08
1183,0.4,125,34,0.9914,0.49,7,0.18,0.04,12.2,5.3,3.24
1184,0.42,130,33,0.9924,0.74,8.3,0.2,0.044,12.2,4.45,3.25
1185,0.42,92,35,0.9911,0.49,6.3,0.27,0.063,12.2,1.2,3.38
1186,0.35,158,37,0.9955,0.49,7.8,0.43,0.033,11.3,13,3.14
1187,0.54,231,50,1.0012,0.49,8.3,0.21,0.054,9.2,19.8,2.99
1188,0.42,130,33,0.9924,0.74,8.3,0.2,0.044,12.2,4.45,3.25
1189,0.41,144,42,0.991,0.74,7.1,0.22,0.044,12.2,2.7,3.31
1190,0.42,133,27,0.9946,0.49,7.9,0.11,0.048,10.6,4.5,3.24
1191,0.4,128,29,0.9928,0.74,8.5,0.17,0.05,12.4,3.6,3.28
1192,0.47,150,18,0.9917,0.49,7.4,0.16,0.055,11.2,1.2,3.23
1193,0.46,137,11,0.9918,0.49,8.3,0.19,0.051,11,1.2,3.06
1194,0.27,172,49,0.9932,0.49,6.9,0.19,0.036,11.5,6.6,3.2
1195,0.39,96,30,0.9903,0.49,7.1,0.25,0.03,12.3,3,3.13
1196,0.39,60,15,0.9928,0.24,6.5,0.24,0.046,9.8,1.6,3.19
1197,0.36,184,40,0.9962,0.49,7.1,0.85,0.028,10.7,8.7,3.22
1198,0.29,104,10,0.992,0.24,7.6,0.51,0.04,10.8,1.2,3.05
1199,0.6,124,26,0.9942,0.24,6.6,0.25,0.048,10.1,1.7,3.37
1200,0.48,85,13,0.9942,0.24,6.9,0.25,0.057,9.5,3.6,2.99
1201,0.41,187,52,0.9998,0.74,7.9,0.16,0.037,9.3,17.85,2.99
1202,0.32,62,6,0.9934,0.24,6.7,0.62,0.039,10.4,1.1,3.41
1203,0.48,126,35,0.99,0.49,6.8,0.27,0.044,12.1,1.2,3.13
1204,0.6,155,14,0.9904,0.24,6.7,0.51,0.043,13,2.1,3.22
1205,0.38,126,24,0.9942,0.74,7,0.17,0.045,12.2,12.8,3.26
1206,0.49,130,39,0.9945,0.49,9.2,0.18,0.041,9.8,1.5,3.04
1207,0.64,160,59,0.996,0.74,7.8,0.26,0.044,10,7.5,3.22
1208,0.44,170,50,0.9991,0.49,6.8,0.21,0.06,9.8,14.5,3.55
1209,0.32,134,29,0.9939,0.49,7.3,0.22,0.034,11,9.4,2.99
1210,0.28,161,48,0.9937,0.49,7.3,0.22,0.031,11.2,9.9,3.01
1211,0.32,132,26,0.994,0.49,7.4,0.19,0.03,11,9.3,2.99
1212,0.77,136,34,0.9926,0.49,7.3,0.155,0.039,10.5,1.3,3.14
1213,0.37,169,34,0.9938,0.49,8.3,0.2,0.04,10.1,1.7,3.05
1214,0.37,167,38,0.9939,0.49,8.3,0.2,0.038,10.1,1.7,3.05
1215,0.49,185,31,0.998,0.49,8,0.25,0.044,10,9,3.34
1216,0.39,158,41,0.9997,0.49,6.6,0.21,0.042,8.7,18.15,3.28
1217,0.44,156,47,0.9981,0.74,7.2,0.27,0.037,8.7,12.5,3.04
1218,0.39,158,41,0.9997,0.49,6.6,0.21,0.042,8.7,18.15,3.28
1219,0.3,174,26,0.9943,0.49,8.1,0.3,0.037,11.2,8.1,3.1
1220,0.32,86,29,0.993,0.24,7.1,0.53,0.029,9.1,0.8,3.16
1221,0.57,104,27,0.9924,0.49,7.2,0.16,0.037,10.6,1.3,3.23
1222,0.47,152,33,0.9952,0.49,7.9,0.12,0.049,10.6,5.2,3.18
1223,0.45,158,36,0.9945,0.49,6.7,0.3,0.034,9.9,4.8,3.12
1224,0.4,122,17,0.9932,0.49,8.5,0.15,0.031,10.3,1.5,3.03
1225,0.48,157,36,0.9953,0.49,7.9,0.18,0.051,10.6,5.2,3.18
1226,0.44,152,44,0.9912,0.49,7.3,0.21,0.038,12.6,1.8,3.32
1227,0.6,164,32,0.9965,0.49,7.9,0.42,0.056,11.2,8.2,3.29
1228,0.58,182,45,0.9967,0.49,7.6,0.23,0.036,9.6,10,3.08
1229,0.48,157,36,0.9953,0.49,7.9,0.18,0.051,10.6,5.2,3.18
1230,0.57,115,12,0.9963,0.49,6.2,0.43,0.045,9,6.4,3.27
1231,0.46,112,10,0.9958,0.49,9.1,0.28,0.059,10.1,2,3.15
1232,0.33,126,26,0.99,0.49,7.1,0.34,0.027,12.2,1.5,3.3
1233,0.46,157,35,0.9945,0.74,6.7,0.3,0.038,9.9,5,3.21
1234,0.58,188,49,0.9974,0.49,7.4,0.3,0.055,9.7,8.2,3.52
1235,0.35,116,21,0.9931,0.49,7.8,0.26,0.045,10.3,3.1,3.16
1236,0.58,128,17,0.9946,0.49,7.1,0.64,0.05,10.6,1.8,3.31
1237,0.53,191,50,0.9989,0.49,7.6,0.31,0.062,9,13.4,3.22
1238,0.42,209,52,0.9956,0.74,6.4,0.25,0.045,9.2,7.8,3.21
1239,0.4,165,46,0.9982,0.74,7.3,0.3,0.039,8.7,13.5,3.02
1240,0.46,147,34,0.9948,0.49,9.3,0.31,0.042,9.8,1.3,3.11
1241,0.42,209,52,0.9956,0.74,6.4,0.25,0.045,9.2,7.8,3.21
1242,0.44,161,49,0.9945,0.49,6.4,0.12,0.042,10.4,6.4,3.34
1243,0.43,206,53,0.9956,0.49,6.4,0.27,0.046,9.2,7.3,3.24
1244,0.3,122,56,0.9906,0.01,6.6,0.55,0.034,11.9,2.7,3.15
1245,0.43,206,53,0.9956,0.49,6.4,0.27,0.046,9.2,7.3,3.24
1246,0.4,136,37,0.9938,0.49,7,0.29,0.047,9.4,3.8,2.95
1247,0.46,109,44,0.9906,0.49,7.5,0.32,0.031,12.5,1.7,3.07
1248,0.38,118,44,0.9935,0.49,5.8,0.19,0.04,9.5,4.9,3.34
1249,0.46,109,44,0.9906,0.49,7.5,0.32,0.031,12.5,1.7,3.07
1250,0.34,131,40,0.9958,0.49,8,0.29,0.035,10.8,11.7,3.14
