"sulphates","total.sulfur.dioxide","free.sulfur.dioxide","density","citric.acid","fixed.acidity","volatile.acidity","chlorides","alcohol","residual.sugar","pH","quality"
0.34,91,26,0.9937,0.49,9,0.31,0.034,11.5,6.9,2.99,5
0.39,146,32,0.993,0.39,8.3,0.15,0.055,10.5,1.3,3.08,6
0.94,120,18,0.99026,0.01,6.2,0.76,0.041,13.7,3.2,3.2,7
0.58,220,30,0.99622,0.26,7,0.16,0.047,10.1,7.3,3.38,6
0.56,102,39,0.9908,0.26,6.2,0.2,0.03,12.9,9.7,3.08,7
0.51,188,46,0.9982,0.27,6.6,0.24,0.035,9.2,15.8,3.24,5
0.54,166,20,0.99208,0.32,6.9,0.31,0.024,9.8,1.2,3.05,6
0.48,196,52,0.9959,0.45,6.5,0.22,0.053,9.1,8,3.23,6
0.34,124,24,0.9909,0.24,6.8,0.36,0.039,12.6,4.6,3.27,7
0.76,157,81,0.9928,0.27,6.3,0.22,0.036,10.7,4.5,3.05,7
0.58,149,51,0.99544,0.29,6.8,0.28,0.052,10.4,11.9,3.02,6
0.5,174,36,0.99911,0.29,6,0.28,0.051,9,19.3,3.14,5
0.46,164,19,0.99269,0.05,7,0.55,0.036,12.2,8,3.26,6
0.61,213,44,0.99715,0.22,7.8,0.29,0.056,9.3,9.5,3.08,6
0.55,83,15,0.993,0.32,6.4,0.22,0.028,10.9,7.2,3.13,8
0.51,117,29,0.9938,0.49,8.5,0.19,0.044,10.1,3.5,3.14,6
0.63,107,37,0.99159,0.29,6.7,0.3,0.025,11.3,2.8,3.31,7
0.42,138,35,0.98945,0.33,5.9,0.32,0.027,12.7,2.1,3.37,6
0.34,131,24,0.99727,0.42,6.9,0.615,0.067,9.3,12,3.19,5
0.4,99,31,0.9896,0.23,6.8,0.32,0.026,12.4,3.3,3.1,6
0.76,112,24,0.9932,0.4,7.6,0.15,0.036,10,1.3,3.14,5
0.47,90,34,0.99047,0.3,7,0.16,0.043,11.2,2.6,2.88,6
0.41,147,63,0.99126,0.46,7.6,0.17,0.036,10.7,0.9,3.02,6
0.5,108,10,0.99243,0.23,5.5,0.17,0.039,10,2.9,3.28,5
0.39,91,25,0.99268,0.3,7.4,0.14,0.033,10.6,1.3,3.53,6
0.41,116,9,0.9944,0.2,7.6,0.38,0.046,9.4,3.4,3.15,5
0.5,143,33,0.99332,0.29,5.7,0.31,0.05,11.0666666666667,7.3,3.31,6
0.55,140,44,0.99142,0.29,6.4,0.105,0.035,10.7,1.1,3.17,7
0.38,153,48,0.9899,0.33,7.1,0.22,0.033,12.7,2.8,3.15,7
0.51,140,34,0.9934,0.25,5.9,0.14,0.027,10.8,4.5,3.49,6
0.45,148,32,0.99458,0.35,8.9,0.3,0.032,11.5,4.6,3.15,7
0.42,123,21,0.9905,0.43,7.3,0.28,0.08,12.8,1.7,3.19,5
0.32,103,41,0.99122,0.28,6.5,0.33,0.018,12.2,6.1,3.24,6
0.56,102,40,0.99154,0.26,5.6,0.295,0.035,10.6,1.1,3.47,6
0.6,151,29,0.9946,0.41,6.6,0.25,0.043,10.2,7.4,3.15,7
0.43,135,25,0.9984,0.27,7.4,0.16,0.05,8.7,15.5,2.9,7
0.51,126,9,0.99494,0.2,6.5,0.315,0.041,8.8,6.6,2.94,5
0.35,92,28,0.994,0.16,6.6,0.56,0.045,9.1,3.1,3.12,6
0.59,143,40,0.99374,0.29,6.3,0.28,0.051,11,6.8,3.43,6
0.46,182,42,0.996,0.26,7.8,0.19,0.039,9.9,8.9,3.18,6
0.34,131,24,0.99727,0.42,6.9,0.615,0.067,9.3,12,3.19,5
0.71,113,29,0.9912,0.32,6,0.26,0.028,12.3,3.5,3.4,7
0.58,215,42,0.9971,0.23,7.8,0.42,0.054,9.2,8.8,3.02,6
0.47,134,33,0.992,0.3,6.4,0.26,0.025,10.6,2.2,3.21,6
0.48,142,22,0.99518,0.29,7.1,0.47,0.024,12,14.8,3.12,8
0.41,188,43,0.9911,0.3,7.2,0.2,0.039,12,2,3.3,6
0.53,72,12,0.99072,0.49,7.1,0.18,0.033,11.3,1.3,3.05,7
0.47,177,34,0.99706,0.34,9,0.29,0.03,10.6,12.1,3.13,5
0.48,192,49,0.9979,0.39,7.2,0.23,0.058,9,14.2,2.98,7
0.38,205,55,0.9986,0.28,7.2,0.25,0.055,9,14.4,3.12,7
0.5,114,36,0.9924,0.35,5.8,0.28,0.053,10.2,2.3,3.28,4
0.62,155,32,0.9951,0.33,7.7,0.28,0.037,10.7,6.7,3.39,7
0.41,188,43,0.9911,0.3,7.2,0.2,0.039,12,2,3.3,6
0.49,122,30,0.99415,0.5,6.1,0.22,0.045,9.9,6.6,3.22,6
0.47,186,45,0.9962,0.18,6.3,0.27,0.048,9,7.7,3.23,5
0.5,150,53,0.9936,0.26,7.4,0.24,0.058,9.9,1.6,3.18,7
0.9,114,14,0.9925,0.38,7.1,0.13,0.046,11.7,1.8,3.32,6
0.57,245,50,0.9972,0.44,6.3,0.6,0.05,9.3,11,3.19,4
0.39,127,40,0.9942,0.3,6.8,0.15,0.05,9.7,5.3,3.4,6
0.73,120,26,0.99198,0.26,6.6,0.32,0.031,12.5,4.6,3.4,7
0.38,71,20,0.9902,0.26,7,0.22,0.037,11.7,1.1,3.1,6
0.41,119,16,0.99416,0.26,6,0.33,0.051,9.2,5.1,3.15,5
0.68,107,37,0.99006,0.35,6.6,0.19,0.037,12,1.5,3.18,7
0.51,115,34,0.99293,0.43,6.9,0.22,0.042,10.8,6.4,3.05,6
0.45,170,45,1.001,0.36,7,0.27,0.045,8.8,20.7,3,6
0.67,201,58,0.99954,0.3,7.1,0.29,0.036,9,16,3.3,5
0.43,189.5,56,0.9948,0.28,6,0.13,0.038,10.6,5.7,3.59,7
0.36,146,27,0.98999,0.29,5.7,0.22,0.04,12.1,3.5,3.17,6
0.64,188,50,0.99318,0.41,6.2,0.28,0.043,10.8,5,3.23,6
0.36,160,60,0.99257,0.27,7.1,0.44,0.057,11.8,8.4,3.16,6
0.54,188,66,0.99794,0.61,7.7,0.32,0.041,9.3,11.8,3,5
0.47,178,56,0.9928,0.36,8,0.32,0.042,12,4.6,3.29,6
0.38,134,34,0.9927,0.34,6.8,0.25,0.031,10.6,4.7,3.21,6
0.34,143,19,0.99022,0.31,6.5,0.43,0.046,12,3.6,3.15,8
0.53,116,16,0.9989,0.22,6.8,0.27,0.034,9.2,17.8,3.07,5
0.4,120,42,0.9928,0.49,8,0.14,0.035,10.6,1.5,3.26,7
0.52,103,17,0.99305,0.31,7.2,0.19,0.034,11.4,6.3,3.15,7
0.53,159,49,0.9919,0.2,6,0.33,0.031,11,1.8,3.41,6
0.4,82,11,0.9892,0.31,6.3,0.23,0.022,12.9,1.5,3.3,7
0.48,189,56,0.9958,0.42,6.8,0.23,0.044,9.3,7.4,3.22,6
1.06,168,13,0.99203,0.28,7.2,0.2,0.028,11.5,1.6,3.17,6
0.56,101,41,0.98968,0.38,6,0.31,0.04,13.1,4.8,3.24,6
0.44,116,13,0.99108,0.32,6,0.34,0.044,11.8,3.8,3.39,7
0.54,109,9,0.9929,0.25,6.1,0.27,0.041,9,1.8,3.08,5
0.49,125,35,0.9925,0.42,8.6,0.2,0.041,11.4,1.5,3.11,7
0.38,140,30,0.99299,0.34,6.6,0.21,0.046,11,5.6,3.22,5
0.44,153,56,0.9978,0.62,7.7,0.32,0.036,8.9,10.6,3.13,6
0.32,24,6,0.9926,0.49,8.9,0.13,0.028,9.9,1,2.91,5
0.54,133,30,0.9908,0.23,6.4,0.24,0.046,11.4,2,3.12,7
0.48,143,12,0.9918,0.29,7.3,0.18,0.044,11.3,1.2,3.2,7
0.4,140,35,0.9904,0.5,7.8,0.17,0.045,12,1.3,3.16,6
0.35,109,34,0.9974,0.32,7.3,0.13,0.051,9.2,14.4,3.2,6
0.64,194,71,0.9988,0.39,6.8,0.23,0.053,10.2,16.1,3.18,6
0.45,116,26,0.9949,0.16,5.8,0.34,0.037,10,7,3.46,7
0.57,148,35,0.9932,0.49,6.9,0.24,0.032,10.7,1.3,3.45,7
0.43,95,22,0.9914,0.41,7,0.14,0.037,10.9,0.9,3.25,6
0.54,147,43,0.9904,0.32,6.8,0.23,0.026,12.5,1.6,3.29,6
0.34,9,5,0.98722,0.09,4.7,0.67,0.02,13.6,1,3.3,5
0.39,105,12,0.9972,0.64,7.1,0.33,0.056,9.2,13.2,3.05,5
0.6,129,29,0.98984,0.58,5.6,0.18,0.034,12,1.25,3.51,7
0.63,152,69,0.99178,0.29,5.4,0.22,0.045,11,1.2,3.76,7
0.44,148,51,0.9916,0.32,7.5,0.17,0.04,11.5,1.7,3.21,7
0.46,168,69,0.99212,0.14,4.9,0.335,0.036,10.4666666666667,1.3,3.47,5
0.68,81,28,0.9923,0.49,8.2,0.18,0.033,10.4,1.1,3,7
0.5,111,24,0.99,0.33,6.2,0.28,0.029,12.1,1.7,3.24,6
0.52,156,33,0.991,0.74,7.8,0.3,0.033,12.8,1.8,3.29,6
0.39,127,47,0.99368,0.3,6,0.21,0.036,10.6,8.7,3.18,5
0.51,180,32,0.9965,0.26,6.9,0.32,0.053,9.2,8.3,3.25,6
0.4,140,29,0.99628,0.52,6.6,0.36,0.05,9.4,10.1,3.07,5
0.45,117,27,0.98886,0.2,5.2,0.31,0.027,13,2.4,3.56,7
0.33,91,30,0.99512,0.29,6.9,0.14,0.056,9.9,9.9,3.19,6
0.43,152,36,0.9972,0.21,5.9,0.26,0.034,9.5,12.5,3.28,6
0.39,72,15,0.99066,0.24,6.6,0.36,0.038,11,0.9,3.23,5
0.38,93,27,0.9932,0.03,5.3,0.76,0.043,9.2,2.7,3.34,5
0.61,181,60,0.9983,0.38,7,0.3,0.032,9.3,14.9,3.18,7
0.48,202,53,0.99548,0.52,6.6,0.27,0.044,9.5,8.1,3.18,5
0.43,130,37,0.99946,0.36,6.2,0.23,0.039,8.8,17.2,3.23,6
0.51,167,39,0.99804,0.44,6.2,0.25,0.057,9.2,15.8,3.14,5
0.35,114,6,0.9955,0.19,6.5,0.27,0.046,8.6,4.2,3.25,4
0.36,150,42,0.9947,0.35,6.9,0.25,0.034,11.5,9.2,3.21,6
0.47,195,68,0.9982,0.5,7.2,0.31,0.056,9.2,13.3,3.01,5
0.47,169,31,0.9932,0.46,5.7,0.46,0.04,8.8,1.4,3.13,5
0.73,153,25,0.99067,0.31,5.8,0.32,0.049,12.2,2.7,3.44,7
0.39,81,29,0.99151,0.28,6.7,0.36,0.034,12.5,8.3,2.96,6
0.57,104,29,0.9959,0.34,6.4,0.22,0.057,10.3,1.8,3.81,6
0.44,100,26,0.99066,0.33,8.1,0.27,0.045,12.4,1.3,2.98,6
0.37,57,7,0.994,0.25,5.7,0.26,0.02,10.6,10.4,3.39,5
0.39,75,23,0.9908,0.33,6.5,0.16,0.027,11.4,1,3.3,7
0.35,130,55,0.998,0.28,8.4,0.22,0.028,11.6,18.8,2.96,5
0.53,140,27,0.99102,0.35,6.5,0.2,0.04,11.8,3.9,2.98,6
0.54,159,57,0.99666,0.18,6.3,0.2,0.045,9.2,10.6,3.09,5
0.43,213,57,0.99475,0.39,6.4,0.31,0.04,10,7.5,3.32,5
0.48,194,59,0.99558,0.41,6.6,0.28,0.046,9.4,7,3.14,5
0.39,149,29,0.99792,0.28,7,0.15,0.051,9,14.7,2.96,7
0.41,101,18,0.99195,0.31,6.6,0.41,0.042,10.5,1.6,3.13,5
0.46,126,34,0.9962,0.58,6.3,0.21,0.081,8.9,10,2.95,5
0.49,229,48.5,0.9986,0.3,7.4,0.19,0.053,9.1,12.8,3.14,7
0.46,91,6,0.99536,0.12,6.4,0.37,0.056,8.4,5.9,3.06,4
0.52,149,63,0.9925,0.33,6.9,0.19,0.043,10.8,1.6,3.44,5
0.39,193,47,0.9938,0.32,7,0.27,0.047,11.4,6.8,3.23,6
0.42,134,30,0.9927,0.27,6.2,0.33,0.036,10.4,4.9,3.2,7
0.55,199,34,0.9972,0.26,7.8,0.42,0.058,9.3,9.2,3.14,6
0.53,212,61,0.9971,0.46,6.3,0.27,0.037,9.5,11.75,3.25,6
0.36,168,33,0.9958,0.72,6.5,0.22,0.042,9.2,6.8,3.12,6
0.56,191,41,0.99294,0.5,6.6,0.21,0.036,11,8.7,2.96,6
0.37,104,45,0.99454,0.27,6.8,0.11,0.044,9.9,8.6,3.2,6
0.5,97,6,0.99424,0.12,6.2,0.32,0.054,9.3,4.8,3.16,5
0.59,212,56,0.997,0.45,6.7,0.3,0.032,9.5,10.6,3.22,6
0.43,117,37,0.99182,0.32,6.3,0.17,0.04,11.3,4.2,3.24,6
0.46,118,23,0.99176,0.32,8.1,0.4,0.031,13.3,7.9,3.05,7
0.61,94,14,0.9949,0.55,9.4,0.17,0.049,10.3,1.6,3.02,6
0.45,111,38,0.99,0.34,6.8,0.17,0.04,12.9,2,3.24,6
0.47,235,59,1.0024,0.49,6.9,0.27,0.057,8.6,23.5,2.98,5
0.72,135,36,0.9948,0.26,6.9,0.25,0.024,10.7,5.2,3.16,7
0.47,178,35,0.9982,0.35,7.2,0.21,0.048,8.9,14.5,3.05,6
0.98,120,25,0.9942,0.49,6.4,0.24,0.053,10.5,5.8,3.01,6
0.63,88,34,0.99028,0.3,6.5,0.33,0.036,12.5,3.8,3.25,7
0.55,175,10,0.9953,0.31,6.7,0.31,0.04,11.4,9.9,3.46,4
0.54,137,57,0.99732,0.49,6.6,0.285,0.035,8.9,11.4,3.08,6
0.38,162,32,0.99508,0.24,7.3,0.17,0.121,10.4,8.1,3.17,8
0.47,100,25,0.99026,0.28,6.8,0.32,0.034,12.4,4.8,3.08,7
0.6,119,42,0.99158,0.26,6.2,0.2,0.047,11,1.1,3.48,7
0.53,113,24,0.9982,0.24,6.4,0.41,0.048,9.8,14,3.44,6
0.36,156,18,0.99666,0.32,6.7,0.16,0.035,9,12.5,2.88,6
0.52,255,45,1,0.46,7.2,0.27,0.052,8.9,18.75,3.04,5
0.45,106,7,0.9914,0.35,7.6,0.21,0.041,11.3,1.2,3.06,4
0.65,113,29,0.99188,0.32,6.7,0.35,0.032,12.9,9,3.13,7
0.35,143,33,0.99244,0.21,7.5,0.3,0.026,11.1,6.55,2.92,5
0.49,125,16,0.99282,0.36,5.6,0.2,0.048,10,2.5,3.49,6
0.46,113,41,0.99862,0.2,5.7,0.22,0.044,8.9,16,3.22,6
0.38,97,34,0.98915,0.34,5.6,0.42,0.022,12.8,2.4,3.22,7
0.37,188,43,0.9928,0.28,6.5,0.34,0.041,9.6,1.8,3.13,6
0.47,67,10,0.9924,0.24,8.1,0.31,0.032,10.5,1.6,3.08,5
0.58,114,31,0.99365,0.34,6.1,0.16,0.034,10.15,6.1,3.32,7
0.38,183,75,0.9942,0.44,6.4,0.29,0.197,9.1,3.6,3.01,5
0.44,157,44,0.998,0.2,7.4,0.44,0.049,9,11.5,3.27,5
0.44,200,57,0.99566,0.18,6.7,0.31,0.043,9.4,7.7,3.17,6
0.39,115,24,0.9906,0.56,5,0.17,0.026,10.8,1.5,3.48,7
0.46,168,57,0.9949,0.36,6.6,0.32,0.047,9.6,8,3.15,5
0.39,88,24,0.98883,0.3,5.7,0.37,0.029,11.7,1.1,3.18,6
0.57,241,59,0.9979,0.4,6.5,0.425,0.038,9,13.1,3.23,5
0.36,146,41,1.0001,0.27,6.8,0.21,0.042,8.7,18.15,3.3,5
0.39,154,39,0.99226,0.2,5.8,0.23,0.043,10.2,2,3.21,6
0.47,98,23,0.99422,0.27,7.6,0.17,0.05,9.5,4.6,3.08,6
0.49,121,30,0.99724,0.34,8.1,0.25,0.05,10.1,10.1,3.17,6
0.39,124,34,0.9948,0.32,6.4,0.22,0.029,10.2,7.9,3.4,5
0.34,131,31,0.9952,0.31,7.4,0.16,0.059,9.7,6.85,3.29,5
0.49,151,27,0.99198,0.27,6.4,0.3,0.058,12.2,5,3.22,6
0.56,166,25,0.99339,0.3,6.5,0.29,0.051,11.35,9.15,3.24,6
0.48,196,52,0.9955,0.45,6.4,0.27,0.05,9.5,8.3,3.18,5
0.46,135,35,0.992,0.42,7.2,0.27,0.05,11,1.6,2.94,6
0.51,204,42.5,0.99512,0.24,6.6,0.32,0.06,9.2,1.3,3.59,5
0.59,100,31,0.9942,0.49,7.1,0.3,0.045,10.2,1.6,3.4,5
0.55,140,44,0.99142,0.29,6.4,0.105,0.035,10.7,1.1,3.17,7
0.62,101,32,0.99172,0.27,7.6,0.4,0.03,12.3,5.2,3.22,7
0.41,97,8,0.9927,0.3,6.3,0.35,0.035,11,5.7,3.27,7
0.43,206,57,0.99775,0.26,6.2,0.3,0.046,9.5,13.4,3.17,6
0.88,136,44,0.9968,0.47,6.8,0.37,0.071,9.2,11.2,2.98,5
0.49,93,26,0.99116,0.39,8,0.36,0.024,11.9,1.6,3.15,6
0.42,85,23,0.99027,0.21,5.5,0.28,0.032,12.5,1.6,3.42,5
0.58,151,41,0.9912,0.29,5.8,0.35,0.034,11.6333333333333,3.2,3.35,7
0.43,115,37,0.99684,0.19,5.9,0.32,0.042,10.3,14.5,3.16,5
0.59,209,25,0.9986,0.29,7.5,0.38,0.05,9.3,12.7,3.25,6
0.34,108,25,0.99076,0.29,6,0.17,0.028,12.3,5,3.14,6
0.48,113,36,0.991,0.37,7.3,0.39,0.043,12.7,1.1,3.39,8
0.34,119,36,0.99334,0.21,6.4,0.29,0.041,10.9333333333333,9.65,2.99,6
0.48,110,39,0.99855,0.22,5.7,0.22,0.044,9,16.65,3.24,6
0.72,189,60,0.995,0.24,5.7,0.21,0.047,10.1,2.3,3.65,6
0.58,189,26,0.99489,0.34,6.8,0.29,0.054,10.4,3.5,3.42,5
0.34,175,98,0.99364,0.19,6.5,0.27,0.045,10.1,6.6,3.16,6
0.42,117,6,0.9938,0.39,7.9,0.29,0.036,10.7,6.7,3.12,5
0.7,97,37,0.9926,0.29,7.3,0.24,0.037,10.1,1.2,3.19,6
0.48,196,52,0.9959,0.45,6.5,0.22,0.053,9.1,8,3.23,6
0.52,128,41,0.99636,0.32,6.5,0.25,0.045,9.6,9.9,3.18,6
0.44,171,37,0.9967,0.3,7.9,0.16,0.037,9,4.8,3.47,4
0.43,167,41,0.9948,0.24,7.7,0.44,0.031,11.3,11.2,3.12,7
0.39,163,64,0.9959,0.54,6.5,0.17,0.082,8.8,8.5,2.89,6
0.33,154,53,0.9951,0.49,8.2,0.22,0.037,10.6,9.6,3.02,6
0.44,151,27,0.9954,0.42,6.7,0.33,0.058,9.6,6.4,3.16,5
0.58,103,27,0.994,0.38,6.8,0.2,0.04,10.7,4.7,3.37,6
0.6,129,29,0.98984,0.58,5.6,0.18,0.034,12,1.25,3.51,7
0.49,197,54,0.9978,0.47,7.1,0.31,0.056,9.3,13.6,3.1,5
0.39,140,59,0.99545,0.24,5.6,0.225,0.054,10.2,9.8,3.17,6
0.53,242,52,0.9952,0.28,6.8,0.18,0.047,10.5,8.7,3.22,6
0.38,134,53,0.99567,0.29,6.3,0.24,0.035,10.6,13.7,3.17,6
0.54,221,37,0.9954,0.28,7,0.21,0.045,10.4,8.6,3.25,6
0.38,134,34,0.9927,0.34,6.8,0.25,0.031,10.6,4.7,3.21,6
0.44,117,12,0.99134,0.33,5.9,0.44,0.049,11.5,1.2,3.46,5
0.4,136,37,0.9938,0.49,7,0.29,0.047,9.4,3.8,2.95,6
0.5,200,41,0.9938,0.32,6.4,0.17,0.048,9.7,2.4,3.5,6
0.57,132,29,0.99426,0.28,5.9,0.2,0.038,11.8,12.8,3.31,7
0.49,152,50,0.9934,0.41,7.9,0.28,0.044,10.7,2,3.45,8
0.43,138,45,0.99174,0.24,6.2,0.39,0.037,11.2,4.8,3.23,7
0.37,118,17,0.99356,0.29,6.4,0.27,0.028,11.2,10.8,3.18,6
0.38,133,24,0.99418,0.21,8,0.74,0.05,9.7,4,3.06,5
0.51,195,46,0.9981,0.44,8.4,0.57,0.051,10.4,10.7,3.15,5
0.57,100,24,0.99062,0.23,7.1,0.44,0.035,13.2,5.8,3.15,7
0.41,148,36,0.9928,0.26,6.2,0.31,0.037,10.4,4.8,3.21,6
0.41,223,71,0.9959,0.18,6.8,0.32,0.041,8.9,7.5,3.14,5
0.57,180,20,0.9952,0.26,6.4,0.44,0.054,10,2,3.58,5
0.41,133,43,0.99924,0.36,6.5,0.23,0.038,8.8,16.3,3.26,5
0.46,124,11,0.9944,0.45,9.8,0.36,0.042,10.8,1.6,2.93,5
0.46,155,53,0.9945,0.31,5.9,0.15,0.041,10.5,5.8,3.52,6
0.45,160,28,0.99167,0.16,6.6,0.41,0.037,10.6,1.4,2.95,6
0.52,122,33,0.99044,0.32,5.7,0.21,0.03,11.9,1.6,3.33,6
0.38,126,48,0.99089,0.21,6.6,0.26,0.026,11.3,2.9,3.22,7
0.46,104,20,0.994,0.43,8.4,0.19,0.052,9.5,2.1,2.85,5
0.43,159,36,0.9936,0.28,6.9,0.2,0.048,9.1,1.2,3.19,6
0.63,29,6,0.9924,0.34,6,0.26,0.046,10.4,1.3,3.29,5
0.4,150,64,0.9945,0.48,6.4,0.18,0.186,9.3,4,3.06,5
0.6,206,57,0.9968,0.5,6.4,0.32,0.047,9.4,10.7,3.08,5
0.43,183,61,0.99459,0.2,6.4,0.37,0.117,9.5,5.6,3.24,5
0.67,176,44,0.9996,0.74,7.1,0.18,0.044,9,15.6,3.38,6
0.47,119,11,0.99556,0.36,8.6,0.34,0.045,9.4,1.4,3.17,4
0.61,134,34,0.9924,0.49,6.3,0.26,0.052,9.8,1.5,2.99,6
0.6,102,26,0.99084,0.32,6.6,0.23,0.024,11.8,1.7,3.29,6
0.57,76,19,0.99001,0.53,9,0.38,0.102,12.9,2.1,2.93,5
0.67,198,110,0.99437,0.22,6.8,0.26,0.041,10.6,4.8,3.29,5
0.5,134,8,0.9958,0.24,7.5,0.32,0.053,9.1,4.6,3.14,3
0.44,142,30,0.99542,0.14,5.9,0.28,0.032,9.5,8.6,3.28,6
0.5,100,10,0.9959,0.67,7.3,0.35,0.053,10.9,8.3,3.19,5
0.44,138,24,0.99438,0.35,7.6,0.32,0.092,9.8,1.6,3.19,5
0.37,117,11,0.996,0.13,6.9,0.32,0.042,9.2,7.8,3.23,5
0.31,140,55,0.9959,0.34,7.8,0.21,0.039,10.3,11.9,3.02,6
0.56,171,33,0.99769,0.25,6.2,0.34,0.059,8.7,12.1,3.14,6
0.47,163,45,0.9925,0.39,7.3,0.34,0.04,12.4,5.2,3.3,6
0.5,101,26,0.99596,0.27,6.4,0.17,0.047,9.9,9.9,3.34,6
0.36,77,27,0.9906,0.24,5.6,0.39,0.034,12.7,4.7,3.28,5
0.35,128,44,0.99318,0.36,6.8,0.34,0.029,11.95,8.9,3.28,7
0.52,162,50,0.994,0.23,6.4,0.28,0.051,10.2,6,3.15,5
0.54,176,41,0.99552,0.42,6.9,0.4,0.066,9.4,6.2,3.12,5
0.54,107,38,0.992,0.4,7.9,0.21,0.039,10.8,1.2,3.21,6
0.44,192,52,0.9975,0.37,7.4,0.25,0.06,9.1,13.5,3,5
0.59,191,55,1,0.41,7.3,0.22,0.05,8.9,15.4,3.32,6
0.42,187,41,0.99362,0.46,5.2,0.22,0.066,9.73333333333333,6.2,3.19,5
0.5,221,54,0.9972,0.32,6.8,0.52,0.044,9.6,13.2,3.27,6
0.38,104,33,0.9921,0.34,6,0.28,0.119,10.2,1.6,3.19,6
0.64,204,39,0.99176,0.28,7,0.33,0.033,12.5,5.7,3.17,6
0.38,199,49,0.99413,0.3,7.7,0.18,0.046,9.3,1.2,3.03,5
0.62,130,18,0.99095,0.32,6.8,0.29,0.032,11.2,1.8,3.05,6
0.48,188,47,0.9964,0.49,8,0.3,0.046,10,9.4,3.14,5
0.5,91,22,0.99278,0.31,5.3,0.2,0.036,9.8,3.6,3.41,6
0.38,110,20,0.98869,0.3,5.5,0.29,0.022,12.8,1.1,3.34,7
0.46,166,26,0.9976,0.2,5.8,0.33,0.047,8.9,16.05,3.09,5
0.47,67,17,0.98924,0.28,6.6,0.38,0.043,13.2,2.8,3.21,6
0.56,157,29,0.99312,0.24,7.7,0.28,0.044,10.6,2.4,3.27,6
0.27,151,46,0.9926,0.49,8,0.44,0.031,12.7,9.1,3.16,8
0.53,133,17,0.99373,0.21,6.1,0.34,0.042,9.4,5,3.02,5
0.57,169,66,0.9973,0.28,6.4,0.29,0.063,9,11.1,2.89,5
0.63,122,33,0.99164,0.3,6.8,0.31,0.028,12.6,8,3.13,7
0.41,155,45,0.99807,0.27,7.3,0.19,0.057,8.8,13.9,2.94,8
0.5,234,67,0.99848,0.46,6.7,0.42,0.054,9,9.7,3.23,5
0.57,94,22,0.9912,0.34,6.7,0.19,0.022,11.1,1,3.23,6
0.58,227,64,0.9979,0.4,6.9,0.27,0.05,9.6,14,3.18,6
0.44,150,39,0.9913,0.24,7.6,0.31,0.037,11.8,1.8,3.05,7
0.36,97,15,0.9951,0.14,6.4,0.595,0.058,9,5.2,3.38,4
0.35,109,20,0.99262,0.32,6.7,0.24,0.023,12.6,9,3.34,6
0.41,118,29,0.9932,0.34,7.9,0.2,0.04,10.6,1.2,3.14,6
0.45,169,44,1.0004,0.74,6.7,0.25,0.054,9.8,19.4,3.51,6
0.4,186,47,0.9956,0.32,7.2,0.23,0.058,9.9,8.5,3.19,6
0.35,114,31,0.98946,0.32,6.7,0.32,0.031,12.5,1.7,3.12,6
0.53,128,34,0.98856,0.16,5.4,0.53,0.036,13.2,2.7,3.2,8
0.53,118,40,0.99088,0.27,7.2,0.58,0.032,13,5.8,3.17,7
0.3,143,68,0.9983,0.28,7.6,0.22,0.056,9.2,12,2.99,6
0.32,55,4,0.9908,0.29,8.4,0.29,0.032,11.4,1.05,2.91,4
0.58,160,54,0.99546,0.29,6.8,0.26,0.052,10.4,11.9,3.03,6
0.63,118,49,0.99546,0.35,6.9,0.19,0.038,10.7,13.5,3,6
0.48,128,27,0.99475,0.14,6.2,0.33,0.052,9.4,4.8,3.21,5
0.34,180,38,0.98924,0.23,4.8,0.29,0.044,11.9,1.1,3.28,6
0.6,183,51,0.998275,0.22,6.4,0.46,0.047,10.5,14.7,3.39,5
0.65,83,12,0.99173,0.28,7,0.28,0.039,11.1,1.4,3.18,5
0.6,114,31,0.98952,0.3,5.8,0.28,0.026,12.5,1.5,3.32,7
0.48,124,29,0.9954,0.38,6,0.33,0.04,11,9.7,3.47,6
0.7,95,13,0.98898,0.23,6.1,0.28,0.038,13.1,4.2,2.97,6
0.45,113,29,0.99406,0.28,6.8,0.18,0.039,10.9,9.8,3.11,7
0.52,182,49,0.9958,0.38,7.1,0.17,0.052,9.6,7.4,3.35,6
0.44,200,13,0.9945,0.37,6.1,0.32,0.051,10.5,1.8,3.49,4
0.46,118,37,0.99906,0.23,6.6,0.22,0.047,8.8,17.3,3.08,6
0.32,131,23,0.9944,0.22,6.4,0.26,0.037,10.1,5.1,3.29,5
0.43,143,46,0.9924,0.26,6.9,0.33,0.027,11.2,5,3.25,7
0.59,149,50,0.9962,0.49,7.5,0.24,0.048,10.5,9.4,3.17,7
0.41,103,20,0.99672,0.27,6.6,0.41,0.11,9,10.7,3.08,6
0.67,124,10,0.9948,0.32,6.8,0.36,0.039,9.6,1.6,3.3,5
0.59,187,34,0.9994,0.45,9.8,0.93,0.052,10.2,8.6,3.12,4
0.39,76,12,0.98876,0.37,6.3,0.37,0.024,12.3,1.5,2.94,6
0.23,103,38,0.99148,0.25,8,0.34,0.035,12.2,6.4,2.91,6
0.33,121,35,0.9908,0.21,5.8,0.12,0.056,11.4,1.3,3.32,6
0.55,83,15,0.993,0.32,6.4,0.22,0.028,10.9,7.2,3.13,8
0.42,122,31,0.9945,0.3,7,0.13,0.056,10.5,5,3.47,6
